stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature
  3-4,51.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,70.44,0,0,1.12,0,0,0,0,0,0,0
 60-70,0,8.15,0,0,1.77,0,0,0,0,0,0,0,0,0,591.96,0,0,2.93,0,0.85,0,0,0,0,0
 72-82,0,0,0,0,2.13,0,0.55,0.79,0,0,2.64,6.12,0,0,1255.79,0,2.3,3.3,0,4.86,1.24,0,0,0,0
 84-94,0,3.44,0,0,0,0,56.61,0,1.12,0,0,14.14,0,1.07,440.87,0,0.71,2.97,0,0,0,0,0,0,0
 96-106,0,27.64,7.72,0.63,0,6.25,8.85,0,0,163.44,1.16,5.95,0,4.46,3406.45,0.66,0,909.99,0,4.42,0,0,1.12,4.73,7.7
108-118,0,6.1,0,0,5.11,0,21,0,0,0,7.61,55.66,0,4.53,1049.8,0,0,11.98,0,7.35,0.75,0,0,0,0
120,0,61.12,0,0,0,0,1.88,0,0,1.91,5.97,3.26,3.6,0,180.14,0,16.69,25.19,0,0,0,0,0,0,0
