stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,1.76,0,0,0,0,0,0,0,0,3.42,0,0,2.41,0,0,0,1.13,0,1.94,0,0
 24-34,0,0.7,2.89,0,0,0,0,0,0.8,0.65,0,0,1.03,31.72,1.34,0,0,0,0,7.35,0,0
 36-46,0,0,3.12,0,0,0,0,0,0,0,0.73,0,0,16.86,0,0,0.7,0,2.02,15.3,0,0
 48-58,0,0,3.86,0,0,0,8.79,0,0,0,1.19,0,0,34.32,0,0.46,0,0,0,0.81,0,0
 60-70,5.21,0,30.59,0.6,0,0,2.25,0,1.06,0,9.29,0,0.68,39.87,0,2.77,3.9,0,1.06,1.23,0,9.01
 72-82,0,0.65,15.78,0,0,0,0,0,0,0,0,0,0,12.5,0.53,0,0,0,0,3.26,0,0
 84-94,2.07,0,5.38,0,0,0,1.23,0,0,0,0,0,0,3.79,0,0,3.32,0,0,4.03,1.31,0
 96-106,0,4,1.89,0,0,0,0.68,0,0,0,0,0,0,5.76,0,0,0.56,0,0,0,1.27,0
108-118,0,0,8.88,0,0.54,0,0.46,1.59,1.17,0,0.66,0.53,0,4.68,0,0.43,0,0,0,0,0,0
120,0,0,17.9,0,0,5.1,6.92,0,0,0,0,0,4.97,45.17,0,0,4.95,0,0,0,0,0
