stage,blastomeres,eye,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  5-6,10.18,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.65,4.79,24.16,0,0,0,0
 10-12,5.51,12.64,0,0,7.42,15.12,13.14,0,3.69,0,0
 14-21,0,0,0,3.34,1.5,0,0,2.21,0,1.18,0
 24-34,0,0,1.44,1.34,0.75,0,0,0,0,1.01,0
 36-46,0,0,1.2,0,5.61,0,0,0,0,0,1
 48-58,0,0,0.81,0,8.31,0,0,0,0,0,0.99
 60-70,0,0,1.4,0,6.75,0,0,0,0,0,0
 72-82,0,0,0,0,4.89,0,0,0,0,0,1.28
 84-94,0,0.85,0,0,3.93,0,0,0,0,0,0
108-118,0,0,2.2,0,1.44,0,0,0,0,0,0
120,0,1.28,0,0,13.93,0,0,0,0,0,0
