stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.24,0,0,0,0
 14-21,0,0,0.85,0,0.83,0,0,0,0,0,0,0,0,0,0,2.37,1.23,0,0,0,0,0,0,0
 24-34,0,0.68,0,0,0,0,0,0,0,0,0.96,0,0,0,0,12.55,0,0,0,0,0,0,1.2,0
 36-46,0,0,0,0,0.64,0,0,0,0,0,0,0,0,2.03,0.56,19.09,0,1.15,0,0,0,0,0.88,0
 48-58,0,0,0,0,1.12,0,0.51,0,0,0,0,0,0,2,0.75,6.42,0,0,0,0,0,0,3.82,0.41
 60-70,0,0,0,0,2.74,0,0.7,0,0,0,0,0,0.73,1.42,0,5.8,0,0,0.59,0,0,0.59,0,0
 72-82,0,3.22,0,0.72,4.12,0,1.4,0,0,0,0,0,0,1.34,0,6.95,0,0,0,0,0,0,0,0
 84-94,0,4.01,0,0,0,0,2.2,0,1.18,0,0,0,0,4.05,0.75,4,0,0,0,0,3.14,0,0,0
 96-106,0,30.58,0,0,0,0,0.59,0.61,0,0,0,0,0,0,0,10.55,0,0,0,0,0.79,0,0,0
108-118,0,18.53,0,0,0.61,0.53,0,0,0.7,3.03,0,0.6,0,0.93,0,7.5,0,0,0.45,0,0,0,0,0
120,0,39.9,0,0,2.04,0,4.65,1.09,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
