stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,137.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0,0,0
  5-6,30.13,161.94,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,0,17.76,0,0,0,0,0,0,0,0,0,0
  7-9,10.73,0,0,0,0,0,7.06,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,116.69,6.18,0,0,22.65,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.5,0,0,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.98,0,0,0,43.2,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,36.15,3.13,0,7.61,0,0,0,1.08,0.85,0,0,0,6.71,0,0,0,0,9.89,0,0,9.48,56.74,0.86,0,0,0,0,2.72,0,0.9,255.45,66.96,18.53,0,0,0.82,0,0
 24-34,0,0,0,5.33,0.62,0,11.86,170.17,0,0,4.64,0,0,11.46,0.69,3.79,0,0,0,0,20.98,0,0,51.12,197.03,1.02,1.77,1.16,0,0,18.86,0,0,203.4,146.65,36.2,0,0,4.28,0,0
 36-46,0,0,0,10.49,0,0,18.18,296.73,3.64,1,2.42,0,0,3.39,0.89,0,0,1.02,2.52,0,13.85,0.68,0,25.28,173.91,0,2.55,0,14.25,0,14.11,1.05,0,153.97,10.47,44.85,0,0,3.33,0,0
 48-58,0,0,0,19.94,0.69,0,45.3,216.4,14.8,2.18,14.65,2.58,0,1.21,4.01,0,0.82,0,1.3,0.91,29.57,0.46,2.14,37.19,234.52,0.39,2.55,0.86,0,0,19.54,0,0,107.11,0,36.52,0,0,1.8,0,3.51
 60-70,0,0,0,6.77,0,0,99.8,171.87,1.82,9.29,4.79,0,0,0,1.84,2.48,0,3.85,1.92,0.72,17.19,3.29,0,22.99,109.88,0,2.33,0.86,1.62,0,14.34,0,0.58,74.31,0,8.31,0,0,9.01,0,4.23
 72-82,0,0,0,12.5,2.51,0,111.14,115.86,0,1.7,16.13,0,0,1.72,1.88,0,0.64,0,0,0,26.43,1.06,1.42,21.68,136.08,0,1.27,0,0,0.71,5.27,0,0,35.8,0,9.25,1.21,0,4.92,0,2.1
 84-94,0,0,1.04,21.33,21.42,1.17,50.58,167.87,2.16,0,14.71,6.5,0,1.6,3.49,2.69,5.62,3.23,1.5,7.57,41.46,3.11,4.36,29.24,147.13,0,0,1.05,0,1.66,19.02,0,1.83,66.96,0,14.83,4.18,2.05,6.3,1.34,0.55
 96-106,0,0,0,13.73,28.01,1.14,85.12,253.31,1.03,0,17.71,3.43,0,0,10.26,5.72,0.58,0.82,1.45,0,43.86,7.17,10.62,19.33,120.27,0,0,3.43,0,6.58,52.54,0,0.79,51.68,0,2.51,0,0,13.19,1.77,7.16
108-118,0,0,0,11.95,3.11,4.22,49.28,190.26,6.62,1.34,13.48,5.07,0,0.51,2.52,1.03,1.18,3.04,5.12,2.2,34.02,0,2.63,37.12,68.34,0,5.85,2.94,0,3.39,30.39,0,0.62,43.98,0,2.05,0.52,0,3.86,0,4.1
120,0,0,0,19.78,0,1.8,28.95,99.29,1.75,0,32.18,0,0,0,13.72,0,0,0,0,0,17.95,0,3.2,19.42,97.99,0,0,0,0,5.29,12.73,0,0,9.34,0,0,0,0,1.25,0,0
