stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,17.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,17.95,3.36,0,0,8,0,0,0,6.54,0,0,0
 14-21,0,2.2,0,0,0,0,0,53.58,0,0,3.27,0,26.64,1.58,19.18,2.38,0,0,1.57,83.3,2.12,90.1,0,2.06
 24-34,0,0.96,0,0,0.72,0,0,43.62,0,8.65,8.93,0,32.55,0,53.79,5,0,0,0,58.9,0,65.54,0,0
 36-46,0,0,0,0,17.87,8.76,0,44.65,0,0,0,0,30.61,0,31.28,15.88,0,0,0,34.96,0,61.02,0,0
 48-58,0,0,0,0,14.31,0,0,49.47,0,2.52,0,0,43.39,0,20.98,21.83,0,0,0,19.67,0,61.93,0,0
 60-70,0,0,0,0,6.83,0,0,34.67,0,13.01,0.91,0,67.35,0,34.58,6.4,0,0,0,15.39,0,17.08,0,0
 72-82,0,0.91,0,0,2.98,1.14,0,35.51,0.86,12.32,6.44,0,50.28,0,49.6,31.72,0,1.03,0,4.56,0,19.99,0,0
 84-94,0,0,0,0,9.24,0,0.7,38.63,0,27.25,3.23,0,45.62,0,60.21,63.35,0,0,0,18.63,0,34.43,1.17,0
 96-106,0,0,2.2,0,2.81,0,0,50.61,0.71,42.6,0,0.6,20.05,0,71.47,76.87,0,0,0,6.29,0,35.78,0,0
108-118,0,0,4.69,0.56,7.64,0,0,32.56,0,30.73,2.81,4.11,62.83,0,41.71,56.72,0,0,0,10.83,0,13.3,0,0
120,0,0,0,1.59,12.33,0,0,70.91,0,23.82,0,0,92.04,0,75.37,83.82,0,0,0,56.7,0,11.51,0,0
