stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,xanthophores
  5-6,8.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.92,0,0,0,16.64,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.66,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0.95,0,1.12,3.98,0,0,0,0,0,27.58,1.65,0,1.36,2.07,0,0
 24-34,0,0,7.06,0.62,3.14,0,0,0,0,0,5.23,0,0,0,2.81,0,0.66,22.18,0,0,0,0,0,136.99,0,0,0,0,0,0
 36-46,0,0,0.75,0,0.56,0,0,0,0,0,2.42,0,0,0,0,1.27,0,16.23,0.6,0,0,0,0,279.98,0,0,0,3.43,0,0
 48-58,0,0,6.1,0,10.92,0,0.47,0,0.49,0,5.52,0,0,0,0.95,3.17,0,16.18,0.5,0,0.61,0,0,170.83,0,0,0,0.49,0,6.72
 60-70,0,0,6.52,0,5.13,3.07,0,0,0,0,0.59,0,4.95,0,4.64,5.27,3.42,26.22,0,0,2.39,0,1.53,194.53,0,0,0,0,0,0
 72-82,0,1.09,11.77,0,7.9,1.37,0,0,0,0.52,1.38,2.58,0,0,1.24,5.71,0,4.4,0,0.88,2.1,0,0,116.83,0,0,0,0,1.34,4.46
 84-94,0,0,13.95,0,4.66,3.73,0,0.77,1.79,1.37,5.03,0,0,0,4.32,5.08,0,12.94,0,0,1.83,0,0,313.09,0,0,0,0,2.1,0
 96-106,0,0,62.31,0,41.72,2.48,0,3.03,6.33,4.15,14,0.82,0,2.1,12.77,11.59,0,23.91,0,1.47,0,0,0,286.22,0,1.26,0,0,4.16,0
108-118,0,0,58.52,3.05,4.79,3.24,0,0,8.31,4.97,8.89,0,0,0,7.3,10.77,0.52,25.8,0,0,0,0,0,234.39,0,0,0,0,5.93,0
120,0,0,60.58,0,5.86,5.56,0,0,0,0,9.81,0,0,0,0,2.43,0,8.63,0,0,13.8,0,0,151.14,0,0,0,0,1.09,0
