stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,109.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0
  5-6,7.77,246.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,0,0,0,6.16,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.53,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,108.35,7.89,0,0,31.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.96,0,0,0,23.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.53,0,0,0,8.8,0,0,0,11.42,0,0,0,0,0,0
 14-21,0,0,0,16.2,0,4.26,0,0,4.19,0,0,0,2.44,0,0,0,7.63,0,0,0,99.9,12.38,1,1.05,3.85,0,0,15.5,1,13.18,26.46,0,0,0,0
 24-34,0,0,0.97,2.58,0,4.81,0.62,0,0,0.82,0,0,1.47,0,0,0,11.35,0,0,12.69,95.39,0.64,0.78,0,0,0,2.87,0,0,0,25.03,0,0,0,0
 36-46,0,0,0,1.28,0,14.55,0,0,0,0,0,0,0,0,0,0,6.66,0,0,1.16,62.38,0,0,0.56,0,0,12.47,0,0,0,20.6,0,1.01,0,0
 48-58,0,0,0,0,0,44.35,0,0.44,7.89,0,0,0.82,0,0,0,0.48,10.04,0.8,0.53,4.52,74.44,0,0,0,0,0,1.29,0,0,0,15.48,0,0,0,0.59
 60-70,0,0,0,4.16,4.55,16.78,1.36,0,7.03,0,0,0,2.29,0,2.05,0,13.5,0,0,0,40.36,0,0,1.23,0,0,0.63,0,0,0,8.65,0,1.09,0,0
 72-82,0,0,0,1.19,0,19.3,0,0,9,0,0,0,0,0,0,0,29.12,0,0,0.81,61.97,0,0,0,0,0,1.67,0,0.64,0,3.22,0.8,2.67,0,0
 84-94,0,0,0,0.73,0,8.79,0.81,0.7,3.92,3.03,0,0,0,0,0,0,16.09,0,0,0.77,28.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.19,1.9,0,11.77,0,0.72,3.06,0,0,0,0.83,0,1.02,0,28.35,0,0,0,28.28,1.37,0,0,0,0,3.9,0,0,0,4.85,0,0,0,0
108-118,0,0,0,2.64,0,5.25,0.54,0.94,12.02,0,0,0,0,0.51,0,0,18.46,0,0,1.06,39.66,0,0,0.99,0,2.05,1.07,0,0,0,0,0,6.49,1.05,0
120,0,0,0,2.13,0,1.03,1.25,0,6.29,0,0,0,0,0,0,0,0,0,0,0,42.08,3.89,0,0,0,0,2.12,0,0,0,0,0,0,0,0
