stage,axial,blastomeres,endoderm,eye,neural,paraxial.mesoderm,pronephros
  3-4,0,25.55,0,0,0,0,0
  5-6,7.27,57.8,0,0,0,0,0
  7-9,0,23.84,0,38.55,321.84,12.67,0
 10-12,0,22.85,8.77,19.2,379.29,20.13,8.91
