stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,270.73,3724.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.5,0,0,0,0,0,0,0,0
  5-6,413.17,5489.92,10.71,0,0,0,0,0,0,0,84.57,0,0,0,0,0,0,0,0,0,304.49,7.03,0,0,65.3,87.17,0,0,0,0,0,0,0,0
  7-9,76.56,13.75,108.19,0,0,192.31,0,0,0,0,52.81,0,0,0,0,0,0,0,0,0,2184.01,66.18,0,0,551.35,0,7.62,0,0,0,0,0,0,0
 10-12,0,53.64,42.21,0,6.18,183.18,0,0,0,0,25.45,0,0,0,0,0,0,0,0,0,1575.66,44.42,0,0,542.55,4.52,0,0,25.21,8.17,0,0,0,0
 14-21,0,0,0.8,17.41,3.07,10.49,1.16,0,4.28,1.28,0,0,0,0.82,0,0,0,15.9,0,7.89,225.31,2.73,0,0,1.81,3.48,0,20.96,0,8.87,48.77,0,1.73,0
 24-34,0,0,0,3.32,0,28.03,0.78,0,1.79,0,0,1.33,0,0,0.68,1.54,0.8,15.6,0,10.85,274.89,0.6,2.36,0.64,0,1.29,0,0,0,0.64,34.41,0,2.8,3.23
 36-46,0,0,0,2.28,0,49.76,0,0,4.15,0,0,0,0,0,0,0,0,11.19,0,1.06,128.66,0,1.34,2.43,0,0,0,0,0,0,31.11,0,1.05,0
 48-58,0,0,0,1.87,0,41.49,0,0,10.7,0,0,0,0,0,0,0,0,13.23,0.5,12.9,61.18,0,0.41,2.77,0,0.52,0,0,0.62,0,20.27,0,2.76,0
 60-70,0,0,0,0,0,27.99,0,0,5.82,3.45,0,0,0,0,0,0,0,21.78,2.11,0.75,20.91,0,0,0,0,2.61,0,0,0,0,0.72,0,0,0
 72-82,0,0,0,0,0,9.28,0,0,5.93,0,0,0,0,0,0,0,0,19.22,0,0.85,23.8,0,0,3.52,0,0,0,0,0,0,4.98,0.5,3.45,0
 84-94,0,0,0,0,0,6.54,0.57,0,6.21,0,0,0,0.78,0,0,0,0,2.4,0.66,0.78,16.31,0,0,0,0,4.73,0,0,0,0,0.71,1.08,0,0
 96-106,0,0,0,0,0,5.12,0,1.4,9.15,0,0,0,0,0,0.82,0,0,3.77,0,1.33,12.07,0,0,0,0,0,0,0,0,0,0.99,0,1.35,0
108-118,0,0,0,2.77,0.91,5.33,0,0,3.65,0,0,0,0,0,0.62,0,0,6.93,0,1.45,17.09,0,0.55,1.14,0,0.85,0,0,0,0,1.21,0,0,0
120,0,0,0,0,0,21.28,0,0,20.5,0,0,0,0,0,0,0,0,6.23,0,3.58,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0
