stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord
  5-6,61.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.19,0,0,0,11.06,10.25,0,0,0
 10-12,0,0,0,0,0,0,0,19.57,5.98,0,0,0
 14-21,0,0.81,0,0,1.21,0,0,9.2,0,2.29,0.87,1.13
 24-34,0,0,0,0.95,0,1.26,0.65,5.92,0,0,0,0
 36-46,0,0,0,0,0,0.57,0,1.72,0,0,0,0
 48-58,0,0,0,0.92,0,0,0,11.63,0,0,0,0
 60-70,0,0,4.64,0,0,0,0,1.06,0,0,0,0
 72-82,0,0,0,1.28,0.63,0,0,9.95,0,0,0,2.15
 96-106,0,0.64,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.67,2.03,0.57,11.39,0,0,0,2.55
120,0,4.25,0,0,0,0,0,0,0,0,0,0
