stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,4,7.35,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,13.8,15.18,3.76,0,0,0.92,0,0,0,0,0.85,0,0,0,2.41,0,0,113.11,0,2.79,0,0,0,30.07,0,0,0,0,0,0,0,153.74,6.83,1.69,7.85,0,0,2.26,0,0
 24-34,25.12,14.04,0.62,4.22,0,11.52,0,0,0,1.16,17.44,0,0,0,2.7,0,0,265.21,0,5.08,0,0,1.49,79.06,2.26,0,0,0,0,0.75,0,559.77,6.02,0.71,16.32,0,0,2.5,0,0
 36-46,2.7,4.91,0,0,0,16.98,0,0,0.56,2.13,42.65,0,0,0,1.59,0,0,283.09,0,2.62,0,0,0.96,69.02,0.97,0,0,0,0,0,0,448.74,18.34,0,7.85,0,0,0,0,1.54
 48-58,1.56,0,0,0.4,0,23.11,0,0,0,3,33.45,0,0,0,0,0,0,241.31,0,7.75,0,0,0.37,66.47,6.82,1.25,0,0,0,1.62,0,264.47,0,0,4.01,0,0,1.26,0,0
 60-70,0.65,0,0,0.68,15.76,34.82,0,0,0,4.69,32.36,0,0,0,0,3.28,0,481.93,0,5.65,0,0,0.57,67.58,0.66,0,0,0,0,2.83,0,348.13,0,0,10.57,0,0,0,0,0
 72-82,4.46,4.71,1.78,5.59,57.42,106.05,0,4.17,2.06,19.48,93.84,0,2.09,5.73,0,3.11,1.96,1869.26,0,31.63,0,0,6.63,291.32,1.32,5.08,3.06,0,0,11.21,0,577.72,0,0,6.2,0.53,0.81,26.13,0,10.27
 84-94,3.56,8.94,10.62,20.53,161.76,113.04,0,0.6,6.75,7.77,141.67,0,0,2.83,3.25,2.45,1.12,5456.11,0,40.23,0,0.84,10.5,313.52,1.26,0,4.81,0,0,16.44,0,1431.54,0,0,17.74,0,0,18.12,0,7.59
 96-106,6.54,7.95,50.42,68.2,172.43,357.35,3.92,11.99,8.71,80.91,170.75,0,0,16.71,3.24,4.84,10.3,9231.2,0,153.08,4.53,6.01,9.99,1317,6.38,16.57,11.22,0,9.4,99.58,0.64,1367.26,1.85,0,11.63,3.2,1.15,41.1,6.09,29.31
108-118,5.02,11.2,43.61,28.98,237.15,260.41,3.52,8.27,14.08,72.62,110.89,0,0,9.6,0.5,2.28,2.78,19616.82,6.05,166.63,2.55,6.32,17.89,1212.27,2.2,3.73,14.55,0,19.24,52.73,0,1543.87,0,0,16.02,1.55,3.94,32.33,6.42,17.66
120,2.96,1.66,32.92,17.92,100.11,145.82,10.57,2,6.64,53.27,65.51,0,10.68,10.45,5.35,0,2.98,9140.7,0,95.08,0,0,21.46,947.07,6.67,2.4,14.57,0,0,25.25,0,963.78,2.43,0,30.2,0,0,18.06,4.63,1.16
