stage,blastomeres,endoderm,eye,neural,paraxial_mesoderm,pronephros
  3-4,113.51,0,0,0,0,0
  5-6,75.75,0,0,0,0,0
  7-9,0,6.22,11.49,100.79,27.93,0
 10-12,0,5.47,19.66,47.62,10.35,0
 24-34,0,0,2.5,4.14,0,0
 36-46,0,0,0,1.59,0,0
 48-58,0,0,0.62,1.55,0,0
 60-70,0,0,2.32,0,0,1.12
120,0,0,0,3.34,0,0
