stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,6.01,0,0,0,0,0,0,0
 10-12,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.22,0,0,0,0,3.3,13.84,0,0,0,0,0,0
 14-21,0,103.87,0.96,0,0,5.11,0,0,0,3.2,0,1.86,0,0,2.73,0,0,0,1.96,0,0,0,0,66.34,0,0,0,0,0,0,0
 24-34,0,69.53,0,2.29,0,31.89,0,0,0,0.94,0.65,11.71,0,0,4.41,0,0,1.85,41.04,1.17,0.93,0,0,184.72,0,5.9,0,0,2.88,0,0
 36-46,0,59.48,0,0.84,0,16.21,0,2.18,0,0,0,10.84,0,0,0,1.87,0,0.67,46.87,7.48,0,0.71,0,199.48,0,11.82,0,0,0.87,0,0
 48-58,0,47.87,0,11.24,1.62,20.25,0,1.42,0,0.69,0,13.26,0,0.56,0.42,6.43,0,0,49.48,0,0,0.69,0,142.32,0,2.72,0,0,3.71,0,3.12
 60-70,0,69.07,0,16.96,0,47.19,0,2.54,0,0,0,22.55,0,0,0.68,2.69,0,0,32.82,5.58,0.78,6.48,0,168.98,0,4.92,0,0.69,0,0,7.97
 72-82,0,46.5,0.97,13.65,0,40.07,0,2.47,2.9,0,0.53,27.31,0,0,2.55,0.61,1.44,0,42.69,0.61,3.75,1.39,0,116.61,0,0.75,0.67,0,0.71,1.45,0
 84-94,0,82.68,0,16.62,0,50.27,0,2.27,4.37,1.45,1.25,10.86,0,0,4.48,2.39,1.41,0.77,18.38,0.69,5.93,0,0,344.13,0,0,1.83,0,1.04,1.48,0
 96-106,0,97.6,0,1.94,0,16.97,0,0.57,5.73,0,3.05,28.21,0,1.5,0.56,4.96,0,0.66,18.21,1.84,9.48,0,0,295.94,0,0,3.51,0,0,0,0
108-118,0,150.05,0,2.09,0,56.17,3.15,0.54,7.26,0.93,3.38,27.69,2.23,0,2.26,5.79,0,0,21.61,1.55,3.03,2.11,0,273.18,0,6.16,1.19,1.51,0,0,0
120,0,160.13,1.25,11.39,0,63.98,5.27,0,25.66,0,12.55,25.83,0,0,16.29,16.31,0,0,50.74,5.28,1.32,0,2.76,260.02,0,0,0,0,0,0,0
