stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle
  3-4,15.07,404.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.42,259.2,0,0,0,0,0,0,0,0,0,0,0,0,16.57,0,0,0,6.57,0,0
  7-9,3.44,0,4.39,0,0,0,0,0,0,0,0,0,0,0,30.33,8.32,0,11.36,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,1.3,0
 24-34,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,3.88,0
 36-46,0,0,0,0,0,0,0,1.48,0,0,0,0,0.79,0,7.75,0,0,0,0,2.02,0
 48-58,0,0,0,0,0,0.38,0,0,0,0,0,0,0.45,2.6,18.59,0,0.39,0,0.53,0,0.51
 60-70,0,0,0,0,0,2.59,1.32,0,0,0,0,0.86,0,11.85,9.91,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0.88,0,0,0,0,0,0,4.28,9.81,0,0,0,0,3.21,0
 84-94,0,0,0,4.61,0,0,0,0,0,1.22,0,0,0.66,1.58,0,0,1.64,0,0,0,0
 96-106,0,0,0,7.87,0,10.53,2.11,0,0.86,0,0.67,0,1.5,0,9.21,0,3.76,0,0,0,0
108-118,0,0,0,2.84,0.96,1.85,0,1.44,0.62,0,0,0,0,3.43,1.12,0,0,0,0,0,0
120,0,0,0,13.19,0,8.07,0,0,0,0,0,0,3.84,0,8.05,0,5.17,0,0,0,0
