stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,45.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.93,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.12,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,20.96,0,0,0,0,0,0,0,0
 14-21,0,1.07,7.39,4.58,0,2.68,0,0,0,0,0,0,0,0.89,0,0,0,0.88,0,0,14.24,0,0,0,0,3.61,0,4.86,2.9,0,0,0
 24-34,0,0.74,3.96,0,0,3.31,0,0,0,1.62,0.64,0,0,0,0.85,0,0,1.26,0,0.94,52.77,3.55,0,0,0,0,2.59,0.68,15.94,0,0,0
 36-46,0,0,0,0,0,8.07,0,0,0.82,28.71,0,0,0,0,0,0.7,0,4.39,0,0.72,47.91,20.4,0,0,1.81,0,0,0,7.44,0,4.29,0.92
 48-58,0,0,0.43,0,0,8.68,0.78,0,0,3.45,0,1.02,0,0,0,0,0,11.5,0.38,0.39,50.94,20.49,0,0,0,0,0,0,8.99,0,0.41,3.07
 60-70,0,0,0,0,0,11.71,0,0,0,2.82,0,0,0,0,0,0,0,5.56,0,1.09,61.18,7.99,0,0,0,0,0,0,6.62,0,0,0
 72-82,0,0,2.5,0.95,0,10.18,0,0,0,2.09,0,0,0,0,0,0,1.54,5.87,0,0,44.32,12.27,0.79,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.54,2.96,0,7.39,0,0,0,0,0,0,0,0,0,0.73,0,2.14,0,0.77,42.09,15.94,0,0,4.13,0,0,0,7.07,1.13,0,0
 96-106,0,0,0.83,0,0,5.47,0.62,0,0,0,0,0,1.43,0,0,0.75,0,10.04,0,10.77,35.89,13.68,0.62,0,0,0,0,0,1.37,0,0,0
108-118,0,0,7.74,0,3.73,17.6,0,0.94,0,0,0,0,0.88,0,0,0,0,20.95,0,0.62,15.88,7.19,0,0,0.8,0,0,0,0,0,0,2.47
120,0,0,1.27,0,2.19,9.29,0,0,0,16.81,0,0,2.88,0,0,0,0,4.35,0,0,26.36,15.03,0,0,0,0,0,0,0,0,5.02,0
