stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,185.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.89,270.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.41,0,0,0,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.72,4.16,0,0,29.37,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.98,0,0,0,7.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.81,5.48,0,0,38.34,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.22,83.15,0,0,4.12,0,0,0,5.56,5.27,0,0.81,0,0,0,0,0,0,9.5,0.86,0,5.21,63.76,6.2,0,0.92,2.7,0,28.9,2.5,1.11,6.54,27.16,0,0,1.49,0,0
 24-34,0,0,0,1.49,28.26,0,0,2.69,1.59,0,0,1.6,0,0,2.9,0.98,0.93,0,2,0,0,15.17,0.95,0,6.65,52.51,0,0,2.27,0,0,83.36,0,0.65,1.63,17.49,0,0,6.81,0,0
 36-46,0,0,0,0.84,31.94,0,0,11.58,1.61,10.16,1.45,6.02,0,0,1.46,0,0.63,0,3.49,0,9.46,24.66,1.07,1.66,8.08,8.06,0,2.27,0,0,0,130.8,0,2.03,0,2.59,0,0,7.35,0,2.73
 48-58,0,0,0,0,16.91,0,0,7.44,1.96,7.17,0,1.44,0,0,0,6.27,0.37,0,2.34,0.39,1.67,25.64,2.28,2.11,5.55,41.77,0,1.53,1.65,0,0,65.08,0,0,0,10.02,0,0,3.88,0,8.64
 60-70,0,0,0,0,33.7,0,0,7.42,1.41,6.37,2.4,16.42,5.53,0,0,3.89,0,3.5,1.16,0,0.73,37.22,0,2.22,2.27,71.49,5.07,0,1.67,0,1.68,62.84,0,0,0,10.45,0,0.84,4.75,0,4.71
 72-82,0,0,0,0,19.74,3.4,0,8.72,2.9,10.21,10.46,10.38,0.56,0.52,0,2.92,1.88,0,1.25,0,1.31,45.85,0.58,6.21,2.43,25.22,0,0,0.75,0,2.68,36.63,0,0.51,0,9.81,2.49,5.32,19.13,0,35.44
 84-94,0,0,0,0,18.38,1.45,0,21.73,0,7.64,1.13,9.61,6.36,0,0,7.03,1.7,1.19,0,0.6,2.89,43.39,2.16,4.64,3.93,17.81,0,0.77,5.83,0,0,78.7,0,1.79,0,0,0,1.49,4.83,0,2.6
 96-106,0,0,0,0,16.94,7,0,18.64,0,9.1,2.05,13.64,7.92,0,1.38,2.53,4.64,1.23,6.59,0.62,0,48.61,0,2.73,5.76,13.14,0.62,0.61,1.77,0,1.57,60.55,0,1.71,0,0,1.83,0,9.31,0,1.21
108-118,0,0,2.24,0,35.07,1.18,0.45,4.83,0,5.69,0,4.37,15.48,0,2.99,11.08,4.57,8.37,1.44,0.84,2.93,44.87,0,0,6.25,29.4,1.97,1.88,3.33,0,4.92,51.24,0,1.28,0,1.56,1.86,2.21,23.41,4.32,7
120,1.12,0,0,1.66,38.25,0,0,3.22,0,10.36,2.28,28.38,5.87,0,0,14.91,5.46,10.86,2.39,1.08,0,58.14,0,0,4.98,18.74,3.25,0,8.85,0,4.48,51.66,0,1.79,0,1.75,0,5.53,18.63,9.37,4.6
