stage,axial,blastomeres,endoderm,eye,glial,hatching.gland,muscle,neural,notochord,paraxial.mesoderm
  3-4,9.79,150.97,0,0,0,0,0,0,0,0
  5-6,37.13,347.66,0,0,0,0,0,0,0,13.13
  7-9,3.44,32.48,3.75,28.15,0,7.11,0,176.38,17.85,24.53
 10-12,0,6.19,6.9,11.8,0,5.87,0,150.6,6.37,27.44
 14-21,0,0,0,0,0,0,0.84,0,0,0
 48-58,0,0,0,0,0.95,0,0,0,0,0
