stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,10.66,177.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0
  5-6,21.01,75.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.37,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.78,0,0,0,30.06,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,70.77,0,0,0,19.2,0,0,0,0,0,0
 14-21,0,0,0,0,0.85,0,0,0,1.13,0,0,0,0,0,0,0,0,6.97,0,0,0,0,0,0.99,1.19,0,0,0
 24-34,0,0,0,0,0,6.6,0,0,0,0,0,0,0.75,0,6.71,0,1.62,60.89,0,0.75,0.74,0,1.69,0,0.63,6.16,0,1.78
 36-46,0,0,0,0.73,0,14.14,0,0,0,0,0,0,0,0,0,0,1.15,33.88,11.43,0.59,0,0,0,0.6,0,2.77,0,0
 48-58,0,0,0,12.3,0,11.04,1.26,0.4,18.83,0.64,0,0,0,0,0.64,3.39,0,26.72,0,0,0,0,0,0,0,7.24,0,7.8
 60-70,0,0,0,4.85,0,18.01,0,0,10.56,0,0,0,0,0,8.54,0,0,22.45,0,0,0,0,2.43,0,0,12.95,0,0
 72-82,0,0,0,0,0,2.64,0,0,1.53,0,0,4.62,0,0,2.87,1.19,0,6.8,0,0,0,0,0,0,0,1.75,1.02,0
 84-94,0,0,0,0,0,1.85,0,1.65,0,0,0,0,0,0,2.71,0.63,1.11,4.71,0,0,0.91,0,0.69,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,3.03,0,0,0.56,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.53,0,1.17,0,0,1.1,0.76,0,0,5.89,0,0,0,0,0,0,0,0,0,0
120,0,0,0,4,0,1.01,0,0,0,0,0,0,0,3.61,6.92,0,0,14.06,0,0,9.8,0,1.07,0,0,8.06,0,0
