stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,242.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,65.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.05,0,0,0,3.59,0,33.49,4.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.07,0,0,0,8.75,0,47.04,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.71,11.4,0,2.13,0,0,0,0,0,1.07,0,0,0,0,0,5.98,1.69,3.2,0,0,13.65,5.49,0,2.21,0,0,1550.39,0,4.3,0,0,0,3.73,0,0,49.43,0,1079.01
 24-34,0,0,0,19.12,8.24,0,7.84,0,6.76,0,1.95,0,1.62,0,0,24.22,0,1.39,45.97,15.6,29.79,0.91,10.28,248.22,20.66,5.15,0.86,0,0,3051.69,0,0,0.88,1.01,3.93,34.54,0,0,218.34,0,3352.08
 36-46,0,0,0,10.98,0,0,7.67,1.68,16.35,0,3.31,0,0,5.64,9.96,1.95,0,0,0,17.92,22.22,0,0.78,147.96,17.48,0,3.5,0,0,4126.75,0,0,6.33,1.48,0,21.48,0,0,28.63,0,2013.44
 48-58,0,0,0.43,18.53,0,0,35.47,0,33.96,0,3.6,1.53,0,3.62,2.59,12.89,0,0,5.63,11.83,22.5,0,3.26,121.74,45.1,0,5.71,0,0,2922.95,0,0,0,0,0,14.13,0,0,8.69,0,1294.64
 60-70,0,0,3.4,9.22,0,0,50.69,0,30.13,0,3.91,0,0,1.6,6.15,0,0,7.85,0,15.36,11.92,0.93,2.29,65.96,74.34,0,29.61,0,0,1954.1,0,0,0,0,0,18.17,0,0,0,0,836.74
 72-82,0,0,17.42,32.37,0.69,0,33.86,0,24.18,1.34,21.49,0.72,0,2.8,8.04,26.67,0,11.47,0,48.95,11.93,0,0,53.83,70.65,1.03,84.74,0,1.61,1382.77,0,0,0,0,0,1.14,4.42,0,2.44,0,596.55
 84-94,0,0,28.31,61.53,0.84,0,40.44,0,51.29,0,10.66,1.36,0,3.23,21.45,3.78,0.71,38.23,0.58,57.21,27.62,0,0,32.66,131.83,0,128.28,0,0,3614.48,0,0,0.59,0.83,0,1.3,4.06,0,3.78,0,490.06
 96-106,0,0,15.58,114.13,15.57,0,43.63,0,63.74,0,40.24,8.97,0,2.7,26.22,0,0,45.42,0,38.03,28.24,0,0,65.67,237.58,4.96,161.53,0,0,2557.02,0,0,0,0,0,0,3.97,2.09,4.1,0.69,383.58
108-118,1.66,0,46.84,112.76,1.66,0.5,47.72,0.42,99.19,1.33,54.3,4.4,1.01,3.74,48.85,0,0,91.15,0,41.33,48.19,0,0.95,63.74,303.15,0,191.48,0,1.32,2563.2,0,0,0.44,0,0,0,2.87,2.47,0,0,391.34
120,0,0,2.55,105.94,0,0,41.02,2.11,75.81,0,23.32,7.18,0,3.9,21.08,0,0,19.99,0,32.63,17.89,0,12.97,44.04,518.25,0,253.03,0,0,1607.05,0,0,2.39,0,0,0,0,0,0,0,99.37
