stage,epidermis,eye,mesenchyme,mucous,mural.cell,neural,paraxial.mesoderm
  7-9,0,0,0,0,0,0,3.66
 14-21,1.28,0,0,0,0,0,0
 60-70,0,0,1.64,0,0,4.17,0
 72-82,0,1.1,0,0,0.63,0,0
 84-94,0,0,0,1.03,0,0,0
 96-106,0,0,0,10.84,1.14,10.74,0
108-118,0.45,0.71,0,2.02,0.56,0.74,0
120,0,0,0,6.1,0,0,0
