stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,21.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0
  7-9,6.63,0,0,0,0,4.13,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,40.67,7.45,0,0,17.61,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.25,0,0,0,0,16.64,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,217.14,0,0,0,22.63,0,0,0,7.07,0,0,0,0,0,0,0
 14-21,0,0,2.23,7.31,2.04,2.08,0,0.87,0,2.16,0,0,0,0,0,0,0,0,0,1.06,0,0,1.74,140.3,0,0.84,0,0.96,0,1.52,0.94,0,5.5,59.3,0,0,2.33,0,0
 24-34,0,1.64,0,2.12,0,18.06,0,9.38,0,2.54,0,0,1.46,0,0,1.5,0,0,0.62,10.2,0,0,9.88,483.98,0,12.57,2.96,0,0,3.16,0,0,0,129.27,0,0,7.96,0,0
 36-46,0,0.73,0,1.71,0.76,69.2,0,3.83,0,17.87,0,0,0,0,0,0,0.6,1.62,15.91,11.83,0.72,0.92,2.03,797.2,0,2.72,0,0,0,16.52,0,0,0,165.94,0,0,9.63,0,0
 48-58,0,0,0,2.72,0.45,245.1,0.81,12.26,0.86,69.02,0,5.97,1.11,0,0,0,1.74,0,9.25,21.34,0,3.83,12.95,1031.5,0,8.39,1.71,0,0,18.19,0,0,0,195.28,0,0,2.62,0,7.8
 60-70,0,0,0,4.15,2.08,534.46,0.65,0,0,46.56,0.62,0,0,0,0,0,1.39,0,10.67,43.04,0,12.98,4.12,1108.47,0,0,6.53,0,0,18.55,0,0,0,111.05,0,0.98,7.52,0.73,6.52
 72-82,0,0,0,5.43,4.4,721.3,2.89,0,1.75,74.57,0.81,0,3.27,0,0.61,3.64,3.47,3.06,6.73,90.52,0,7.58,4.54,1012.17,0,10.42,0.49,0,2.55,1.48,0,0,0,72.86,0,0.52,14.04,2.56,14.52
 84-94,0,0,0,4.97,0.65,394.65,0,2.64,0,36.04,3.58,0,4.99,0,0,0.71,7.35,0,1.82,47.99,0,0,4.29,657.79,0,7.73,10.81,0,0,11.43,0,0,0,39.5,2.64,9.28,15,0.62,0
 96-106,0,1.1,0,7.9,9.58,544.56,0,3.13,1.28,55.24,1.16,0,0.88,0,0,1.8,4.99,0,4,49.85,0,8.18,9.84,512.34,0,10.06,3.72,0,0,6.16,0,0,0,21.09,0.82,0,10.47,6.79,2.98
108-118,0,1.02,0,9.91,0,399.67,0,0,0,50.8,1.91,0,0,0.91,0,1.19,3.09,6.1,11.36,51.91,0,1.5,2.88,683,0,8.6,9.43,0,0,1.83,0,2.32,0,23.74,1.87,0,11.2,1.38,0
120,0,0,0,3.29,1.1,386.49,0,12.04,0,82.41,3.18,0,0,0,0,21.37,8.42,0,0,51.77,0,0,1.9,994.91,0,2.28,9.35,0,9.62,6.98,0,4.58,0,58.1,13.64,0,0,0,0
