stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,42.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.27,50.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,32.82,0,5.41,0,0,20.69,0,0,0,0,14.61,0,0,0,0,0,0,0,0,0,0,197.62,4.41,0,0,94.88,6.55,9.39,0,0,0,0,0,0,0,0,0
 10-12,0,10.8,32.07,0,0,16.62,0,0,0,0,11.33,0,0,0,0,0,0,0,0,0,0,282.73,11.62,0,0,203.44,0,0,4.56,19.11,0,0,0,0,0,0,0
 14-21,0,0,0.95,13.43,1.94,4.65,1.17,0,3.35,1.66,4.35,0,0,0.9,0,0,0,0,5.84,0,3.67,137.02,10.45,1.53,0,8.71,0,0,21.55,4.05,0,13.66,52.37,0,2.73,0,0
 24-34,0,0,0.68,4.51,0,8.94,0,3.07,3.7,0.67,0,1.56,0,0.79,0,0,0.66,1.22,13.38,0,10.11,186.63,5.9,5.82,8.78,0,0,0,0,6.78,1.54,3.6,81.37,0,1.26,0,1.07
 36-46,0,0,0,0.76,0,20.47,1.36,0.82,1.35,0,0,0,0,0,0,0,0,1.25,10.5,0,0,132.95,1.44,2.31,0.71,0,0.57,0,0,4.58,0,0,42.62,0,0,0,0
 48-58,0,0,0,0.52,0,29.22,0.93,0,15.55,0,0,1.23,0,0,4,0,0,5.64,12.3,0.55,3.5,79.01,3.55,0,0.63,0,4.6,0,0,0,0,0,24.99,0,0,0,11.92
 60-70,0,0,0,0,0,23.07,0.63,4.89,50.96,0,0,0,0,0,2.01,0,0,1.49,31.51,1.3,0.86,95.35,0,0,0.57,0,0,0,0,0,0,0,18.7,0,0,0,0
 72-82,0,0,0,4.8,0,33.03,0,4.05,85.19,0.7,0.58,0,0.72,0.68,5.54,0.49,0,1.58,18,1.81,0.8,40.02,0.89,0.49,4.87,0,0,0,0,0,0,0,3.78,0,0.9,1.86,9.75
 84-94,0,0,0,1.14,0,17.8,0,5.29,76.66,0.62,0.66,0,0,0.99,2.71,0,0,3.17,26.96,0,2.42,27.74,0,0.77,3.49,0,0.98,0,0,0.96,0,0,16.77,1.27,1.47,0.82,0
 96-106,0,0,0,0,0,36.59,0,0.82,78.66,0.69,0,0,0,0,0,1.41,0,1.24,20.15,0,0.8,33.01,0,0.75,4.19,0,0,0,0,0,0,0,10.33,1.87,0.72,0,0
108-118,0,0,0,1.18,0,20.3,0,3.42,74.72,0.92,0,0,0,1.51,2.51,3.76,1.74,2.33,24.33,2.45,1.23,49.44,0,0,1.15,0,0,0,0,0,0,0,7.83,0.8,3.21,2.28,8.05
120,0,0,0,0,0,31.6,1.76,10.57,53.22,0,0,0,0,4.47,0,0,0,5.37,21.78,0,6.54,49.26,1.33,0,13.53,0,1.27,0,0,0,0,0,0,0,0,9.56,8
