stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,123.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0
  5-6,16.78,109.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.24,5.96,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.03,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.99,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,205.52,27.23,0,0,10.23,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.77,7.4,0,5.78,0,0,0,3.07,1.18,0,0,0,0,0,0,0,0.82,0,0,1.14,63.99,0.94,0,0,2,0,0,0.85,0,12.57,10.02,14.27,0,0,0,0,0
 24-34,0,0,0,3.72,2.44,0,12.26,1.45,0,0,6.18,0.67,0,0,0,5.05,0.68,0,0,4.79,0.61,0,4.95,171.63,0,3.91,0,0,0,6.34,0,1.06,14.1,7.09,29.06,0,0,4.58,0,0.69
 36-46,0,0,0,1.47,7.25,0,38.46,0,0,0,6.39,0,0,0,0,0,0,1.29,1.12,11.58,0,0,1.4,207.74,1.24,3.23,0.78,0,0,5.57,0,0.78,0,0,35.91,0,0,1.02,0,0
 48-58,0,0,0,5.48,0,0,70.4,2.85,0,0,12.83,0,0,0.94,0,0,0,0,1.72,13.9,0,0,3.46,182.32,0.46,0,0,0,0,10.06,0,0,1.19,0,32.28,0,0,1.5,0,1.64
 60-70,0,0,0,3.2,0.62,0,112.38,0,3.61,0.68,17.21,0,0,2.58,2.51,0,0,1.72,0,27.36,0.63,1.12,0,147.63,0,0,0,0,1.19,8.09,0,1.74,1.84,0,13.09,0,0,0,0,16.76
 72-82,0,0,0,0.58,2.32,0,100.66,4.9,0,0.74,15.46,0,0,0.53,0.54,0.59,0,0,0,33.24,0.95,0.57,1.49,164.99,0.51,0.88,0.49,0,0,2.16,0,0,0,0,12.02,0.5,0,5.55,0,0
 84-94,0,0,0,7.69,1.7,0,111.25,0,0,4.83,12.54,3.52,0,0,0.62,0,0.89,0,0,43.98,1.21,1.04,3.53,137.98,0,0,0.59,0,0,5.36,0,0,0,0,29.66,2.26,0.56,2.51,0.67,0
 96-106,0,0,0.91,7.71,1.1,0.98,80.79,0,0,0,18,2.31,0,0,0.84,1.77,0,0,0,22.07,0,0,0,164.11,0,0.96,0.95,0,4.72,3.91,0,1,0,0,4.34,0.59,2.7,1.78,0,0.73
108-118,0,0,3.86,4,3.17,0,74.97,0,2.43,0,9.66,1.98,0,0,3.26,0.84,0.64,5.23,0.58,12.32,0,0,7.75,116.94,0.63,4.89,2.9,0,3.39,5.12,0,0,0,0,6.4,4.36,4.29,4.82,0,1.26
120,0,0,0,4.15,18.07,3.69,50.64,0,0,2.35,5,3.25,0,0,1.69,0,0,1.45,0,18.02,0,0,2.63,126.39,0,0,6.75,0,0,1.13,0,0,0,0,15.39,0,0,1.72,0,0
