stage,axial,blastomeres,endocrine.pancreas,eye,fast.muscle,glial,melanocytes,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,0,62.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.33,0,0,0,0,0,0,0,0,53.17,10.97,0,0,0,0
 10-12,0,0,0,5.83,0,0,0,0,0,0,17.51,15.04,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.8,0.97,0
 24-34,0,0,0,0,0,0,0.78,3.93,0,0,4.12,0,0,0,1.39,0
 36-46,0,0,0,8.64,1.82,0,0,0.7,0,0,4.88,0,0,0,0,0
 48-58,0,0,0,6.75,0,0,0,0,0,0,14.25,0,0,0,0,0
 60-70,0,0,0,8.33,0,1.29,0,9.67,0,0,13.64,0,0,0,0,0
 72-82,0,0,0,2.47,0,0,0,0.49,0,0,3.06,0,0.6,0,0,0.63
 84-94,0,0,1.48,0,0,0,0,0,0,0,5.22,0,2.74,0,0,0
 96-106,1.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,48.86,0,0,0,18.51,10.27,6.07,11.49,0,1.63,0,0,0
