stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,55.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.43,59.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.82,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.88,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0,15.57,1.13,0,0,0,0,0,1.83,3.46,0.86,47.4,0,0,2.17,0,0
 24-34,0,0,0,0,2.71,0,0.96,0,0,1.05,0,2.27,2.08,0,0,0,0,0,2.56,0,0,285.94,1.72,0.75,0,0,0,0,0,13.08,0,147.44,0,0,1.32,0,0
 36-46,0,0,0,0,0,0,4.57,3.75,0,79.86,0,0,0,0,0,0,0,0,5.88,0,1.19,763.31,0,0,0,0,0,0.96,0,2.05,0,193.55,0,0,0,0,0
 48-58,0,0,0,0,5.87,0,41.59,0.55,0,262.34,0,0,0,3.44,0,0,0,0,2.26,1.76,10.75,1465.96,0,4.01,0,0,0.53,0.39,0,1.74,0,246.98,0,0.84,0,0.78,1.8
 60-70,0,0,0,0,2.51,0.73,82.35,4.13,0,373.89,0,0,0,1.42,0,0,4.24,5.7,10.75,0,0,2322.33,0,3.82,2.58,0,0,1.61,0,4.99,0,341.2,0,2.97,0,0,0
 72-82,0,0,0,0,13.39,0.68,85.14,1.74,3.69,255.89,0,0,0,0,0,0,0,2.38,20.19,0,1.94,2082.74,0,1.28,4.56,0,0,0.79,0,0.49,0,199.26,0,0,0.83,0,0
 84-94,0,0,0,0,2.52,0.69,87.33,0,0,161.54,0.77,0,0,2.17,0.68,0,0,0.59,17.72,0.61,2.82,1223.53,1.32,0,1.52,0,0,0,0,0.9,0,141.59,0,0,5.21,0.75,0
 96-106,0,0,0,1.03,9.62,5.52,57.73,0,0,199.21,0,0,0,0.72,0,1.05,3.73,0,20.6,0,0,1162.81,0,8.25,1.17,0,1.6,0,0,2.19,0,68.44,0,1.27,0,3.51,7.49
108-118,0,0,1.44,0,11.78,1.62,59.08,0.68,0,209.73,0,0,0,0,0,0,3.35,0.42,15.47,1.01,0.71,1210.34,0.67,3.78,4.21,0,0,0,0,1.91,0,66.29,0.67,1.37,0.56,0,0
120,0,0,0,4.41,20.04,2.1,77.16,7.24,0,337.85,1.42,0,0,2.65,0,3.86,0,0,38.27,0,0,2535.08,0,0,0,0,0,3.22,0,3.15,0,106.91,0,0,0,0,0
