stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,24.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0
  7-9,0,0,0,0,3.45,0,0,0,0,0,0,0,0,67.37,0,0,0,21.62,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,32.63,0,0,0,7.22,0,0,0,0,0
 14-21,0,0,4.26,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0
 24-34,0,0,1.82,0,0,0,117.69,5.64,2.93,0.65,4.43,0,0,11.13,0,0,0,0,0,0,1.05,0,12.64
 36-46,0,0,0,0,1.36,0,215.23,5.54,0,0,9.65,0,0,42.71,0,0,0,0,0,0,0.75,0,3.48
 48-58,0,0,0,0,0.42,0,392.63,8.69,0.38,0,0.39,1.91,0,12.83,1.16,0,0.42,0,0,0,0,0,7.22
 60-70,0,0,0,0,4.21,3.91,386.32,19.88,0,0,1.85,0,0.6,39.54,0,0,0,0,0,0,3.07,1.93,0.96
 72-82,0,1.47,0,0,4.03,4.68,405.99,14.4,0.66,0,6.87,0,1.43,38.62,0,1.18,0,0,0,0,1.56,0.49,2.22
 84-94,0,0,0,0,5.45,10.78,342.04,45.88,0,0,18.08,0.56,0.64,9.96,0,3.34,5.28,0,0,0,0,0,0
 96-106,0,11.79,2.12,0,9.08,9.87,502.29,40.66,0,15.41,1.5,0,0.91,32.98,0,0,0,0,1.5,0,0,0,14.58
108-118,0,18.05,0.69,1.99,10.58,0.68,326.66,52.69,3.98,1.17,10.24,0,0,23.37,0,0,0,0,0,0,0,0.57,4.4
120,0,0,3.43,0,4.26,17.4,556.77,32.01,0,0,0,0,0,1.35,0,0,0,0,0,0,0,3.74,7.1
