stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.99,708.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0
  5-6,0,421.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0,0,0,9.09,0,10.84,0,0,0,0,0,0,0,0,0,0
  7-9,14.64,7.37,15.34,0,0,0,26.3,0,0,0,0,0,18.28,0,0,0,0,0,0,0,0,0,0,0,155.6,0,0,0,89.76,0,0,20.86,0,0,0,0,0,0,0,0,0
 10-12,0,12.45,0,0,0,0,16.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.84,16.04,0,0,99.34,0,0,4.8,0,8.56,0,0,0,0,0,0,0
 14-21,0,0,0,3.4,0,0,5.6,0,0,0,1.01,0,0,1.78,0,0,0,0,0,0,23.27,0,0,12.69,32.98,24.69,0,0,1.79,0,0,1.58,32.67,0,1.74,17.98,14.54,0,1.49,0,0
 24-34,0,0,0,5.26,0,0,21.09,5.2,0,3.66,10.96,2.46,0,4.43,0,0,0,0.82,0,0,130.87,0,0,52.53,106.61,15.82,0,3.46,0,1.14,0,0,0,15,3.96,9.38,31.05,0,5.21,0,1.9
 36-46,0,0,0.63,3.83,0,0,28.21,13.87,0,5.36,18.69,0,0,1.68,0,14.55,0,0,0,11.61,214.08,0,4.34,35.89,85.42,22.06,0.56,0,0,0.77,0,0,0,18.73,0.73,0.61,26.95,0,4.09,0,8.63
 48-58,0,0,0,0.45,1.56,0,53.18,21.9,0,14.44,25.98,0,0,2.9,0,0,0,1.14,0,5.23,257.82,0,3.99,25.25,106.05,29.54,0.42,0,0,0,1.7,0,0,19.01,10.74,0,26.65,1.57,3.71,0,5.93
 60-70,0,0,0,9.79,0,0,27.52,17.4,0,16.65,80.77,7.28,0,3.15,0,0,0,0.72,0,0,408.29,0,8.63,12.59,24.99,17.9,0,0,0,0.66,0,0,0,49.55,2.31,0,7.17,4.03,4.77,0,5.67
 72-82,0,0,0,2.13,2.46,1.04,65.34,17.41,3.65,29.74,160.17,1.33,0,3.09,0,0,0,0,7.88,0.5,796.25,0,33.82,19.33,47.03,2.02,1.11,2.17,0,2.81,0,0,0,64.67,3.72,0,11.7,11.47,2.27,8.52,16.5
 84-94,0,0,0,15.14,0,2.25,107.07,7.35,1.77,20.08,136.59,1.41,0,1.99,1,0.67,0.58,0,29.65,0,666.48,0,24.5,23.58,52.73,4.88,1.22,0.56,0,0,4.2,0,0,116.79,0.59,0,9.25,9.53,6.21,13.76,2.6
 96-106,0,0,0,6.76,2.52,0,65.58,8.56,0.59,12.48,181.12,0,0,6.92,1.31,0,0.71,1.71,17.85,0,661.8,0,30.03,20.97,78.38,2.14,0.59,0,0,8.41,4.39,0,0,111.97,6.13,0,5.92,9.39,0,8.21,5.26
108-118,0,0,0,2.95,2.99,0.74,70.54,15.27,1.7,26.64,137.8,0.96,0,1.01,1.91,0,0,1.56,49.24,0.44,725.68,1.15,13.04,15.33,60.06,2.29,1.1,1.39,0,11.99,3.81,0,0,71.4,3.35,0,5,14.1,4.06,12.58,12.61
120,0,0,0,6.43,0,2.68,38.46,7,0,26.79,150.12,1.19,0,4.26,0,0,0,0,58.14,0,576.1,0,3.28,9.21,124.04,4.65,0,6.54,0,0,5.1,0,0,46.11,7.15,0,0,12.6,20.08,0,0
