stage,blastomeres,eye,glial,heart,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,spinal_cord
  3-4,13.33,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.5,0,0,0
 14-21,0,0,0,0,0,0,0.84,0,1.3,0.93
 24-34,0,1.18,0,0,0,0,4.1,0,0,1.04
 36-46,0,0.89,0,0,0,0.86,4.86,0,0,3.73
 48-58,0,0,1.72,0.42,0,0,12.11,0,0,3.76
 60-70,0,7.81,0,0,0,1.37,7.18,0,0,0
 72-82,0,7.87,0,0,0,0,0,0,0,0
 84-94,0,0,0.96,0,2.56,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.66,0,0
108-118,0,7.34,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,6.82,0,0,0
