stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,35.69,775.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.29,0,0,0,0,0,0,0
  5-6,54.21,757.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0,0,28.3,0,0,0,0,0,0,0
  7-9,5.03,23.16,0,38.24,0,0,0,20.71,0,0,0,0,0,23.78,0,0,0,0,0,0,0,0,0,326.66,6.98,0,0,116.37,0,9.1,0,0,0,0,0,0
 10-12,0,10.81,0,0,0,0,0,15.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.32,0,0,0,31.52,9.65,4.8,0,14.59,0,0,0,0
 14-21,0,0,0,0,21.34,3,0,2.85,0,0,0,3.94,0,0,0,0,0,0,0,2.79,0,0,2.26,72.97,0,0,0.83,0.9,72.51,0,6.22,1.28,6.09,26.99,0,0
 24-34,0,0,0,0,0.71,0,0,4.5,0,1.81,0,0,0,0,0,0,0,0.6,0,14.61,0,0,2.08,108.31,0,2.59,0,0,80.28,0,0,0,2.96,20.24,0,0
 36-46,0,0,0,0,0,0,0,21.71,1.68,0,0,4.28,0,1.09,0,0.56,4.15,0,0,7.29,0,1.06,3.94,201.03,0,0,0,0,106.9,0,0,0,0,37.85,0,0
 48-58,0,0,0,0,0.4,0,0,51.4,0,0,0.43,18.53,0,0,2.44,0,0,0,0,9.73,0,0,1.34,151.75,0,0.5,0,0,76.71,0,0,0,0,33.17,0,1.25
 60-70,0,0,0,0,0.58,0,0,122.25,1.4,0,0,9.15,0,0.97,0,0,0,0,0,18.69,0,0.7,0,367.49,0,2.94,1.82,0,65.84,0,0,0,0,74.38,0,0
 72-82,0,0,0,0,0.68,6.52,0,64.54,0,0,0,3.42,0,0.5,1.3,0,0,0,3.49,13.35,0,0,0,140.7,0,0,1.98,0,28.58,0,0,0,0,15.97,1.57,1.44
 84-94,0,0,0,0,2.5,1.34,0,52.27,0,0,0,6.05,0.61,2.81,1.67,0,0.76,0,0,12.83,0,1.77,0,146.56,0,0,0,0,115.55,0,0,0.9,0,20.1,0,0.84
 96-106,0,0,0,0,1.58,10.36,8.04,74.25,0,0.9,2.07,11.49,1.92,0,0.75,0,2.65,0,0,12.22,1.66,0,0.94,91.46,0,1.91,0,0,122.57,0,0,0,0,8.04,0.75,1.56
108-118,0,0,0.71,0,12.73,9.37,0,111.46,0,2.59,2.26,12.11,0,0,1.86,1.38,0.41,0.41,0.5,19.76,3.42,0,6.68,210.16,0,1.83,1.87,0,66.1,0,0,0,0,12.99,0,0.56
120,0,0,0,0,6.36,1.68,0,58.1,0,1.5,0,13.19,0,0,0,0,0,0,0,0,0,0,0,224.68,1.33,3.5,1.25,0,42.02,0,0,0,0,8.26,0,2.09
