stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,9.65,736.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0
  5-6,0,219.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.52,5.76,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.36,3.28,0,0,23.79,0,0,9.72,0,0,0,0,0,0,0,0,0
 10-12,0,8.02,0,0,0,0,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.95,23.85,0,0,0,0,0,5.33,0,10.16,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,3.55,1.61,3.43,0,0,0,0,0,0,0,0,0,0,0,6.68,0,0,2.27,57.5,0,1.08,0,0,0,2,0,2.55,0,0,0.81,20.43,0,0,0.84,0
 24-34,0,0,0,1.12,3.04,0,5.01,0,0,0,0,0,0,0,0,0,0,0.92,4.47,0,0,2.14,82.47,1.45,0,1.36,0,0,4.4,0,0,0,0,0.94,18.07,0,0,2.98,2.75
 36-46,0,0,0,0,0,0,5.69,0,0,0,7.97,0,0,0,0,0,0,0,6.09,0,0,2.28,100.45,0,0,0,0,0.77,0,0,0,0,0,0,7.45,0,0,4.62,0
 48-58,0,0,0,0,0.61,0,30.61,0,5.62,0,4.44,0,0.47,4.54,0,0,0,0,6.29,0,0,1.6,107.77,0.38,0.78,0,0,0,2.69,0,0,0,0,0,18.62,0,0,0.38,0
 60-70,0,0,0,0,0.75,0,65.54,0,1.68,1.77,26.85,0,0,0,5.84,0.66,0,0,10.27,0,0,1.08,144.36,0,1.48,2.76,0,0,1.77,0,0,0,0,0,15.99,0,0,2.64,0.77
 72-82,0,0,0,0,0.61,0,56.64,0,0,0,4.48,0,0,0,1.22,0,0,0,21.35,0,0,0,65.18,0,0.9,0,0,0,2.22,0,0,0,0,0,6.05,0,0.99,1.4,7.98
 84-94,0,0,0,0,0.7,0.84,27.94,0,0,2.19,8.5,3.39,0.71,0,0,0,0,0,28.15,0.93,0.55,0.74,57.19,0,0,0,0,0,2.96,0,0,1.11,0,0,5.49,0,0,1.68,0
 96-106,0,0,0,0,0.96,3.02,26.25,1.98,2,0,10.31,2.85,3.16,0.6,2.49,1.08,0,0,19.98,0,0,3.5,44.5,0,4.38,0,0,0,10.94,0,0,0,0,0,2.47,0,0.68,2.75,0
108-118,0,0,0,0,2.46,0,66.78,0.75,0,0.77,9.56,0.49,2.71,0,0.59,0,1.43,0.68,19.68,0,0,1.26,124.36,0,0,0,0,2.11,3.33,0,0,0,0.43,0,1.73,0,0,3.64,0
120,0,0,0,0,0,2.74,47.04,0,0,0,7.58,0,2.19,0,0,0,0,0,25.81,0,0,1.12,165.27,0,0,0,0,0,7.37,0,0,0,0,0,24.28,2.39,0,7.81,0
