stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.27,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,26.92,7.08,0,14.6,0,2.31,2.11,0,0,0,0.91,0,0,0,0,7.2,0,21.25,211.41,28,0,0.96,1.19,0,4.19,0,14.64,0,0,16.42,103.81,0,0,2.41,0
 24-34,0,9.09,1.02,0,33.6,0,13.57,0.85,0,0,1.36,0,0.64,0,0,1.29,31.27,0,9.46,399.96,10.19,0.63,1.26,0,0,7.1,0,0,1.45,0,2.63,83.41,0,0,3.04,1.18
 36-46,0,15.01,8.29,0,58.56,0.65,17.33,0,0,0,0,0,0,0,0,0,29.17,1.52,6,220.5,1.89,1.42,0.97,0,0.77,1.9,0,0,0,0,0,75.5,0,0,2.48,8.88
 48-58,0,7.99,0,0,84.62,1.33,22.31,0,0,0.63,0,0,0,1.46,0,0.98,27.51,1,3.32,160.32,6.36,0,0.85,0,0,1.24,0,0,0,5.35,0,46.76,0,0,3.68,0
 60-70,0,4.25,0,0,29.58,0,19.72,1.68,0,0,0,0,0,0,2.6,0,30.5,0.7,1.41,79.92,0,0,0,0,0,0,0,0,2.54,0,0,5.22,0,0,0.65,0
 72-82,0,2.99,3.26,0,59.81,1.12,16.26,0.67,0,1.08,0,0.7,0.59,0.74,0,0,28.91,0,5.31,78.54,0,1.24,0.95,0,2.41,1.54,0,0,0,0,0,3.42,0,0,2.62,0.82
 84-94,0,4.42,0,0,24.25,0,6.74,0,0,0,0,0,0,0,0,1.36,34.79,0,0,29.33,1.13,0,0,0,0,0,0,0,0,0,0,10.8,0,1.7,0.98,13.84
 96-106,0,2.51,0,0,40.49,2.09,33.83,0,0,0,2.22,0,0,3.89,0,0,12.8,0,1.14,42.09,0.61,0,2.76,0,0,4.91,0,0,0,0,0,1.3,0,0,0,3.44
108-118,0,0,0,0.74,20.09,0,11.57,0,0,0.49,0.74,0,0.64,0,0,1.36,12.76,0,0.67,35.24,0,0.47,1.35,0,0,2.93,0,0,0,0,0,0,0,0,1.24,0.51
120,0,4.81,1.95,0,39.44,0,6.22,1.24,0,0,15.3,0,0,0,0,0,4.37,0,3.06,78.65,0,0,0,0,0,1.25,2.5,0,0,0,0,0,1.63,0,4.13,2.85
