stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.2,0,0,0,0,0,0,0,0,0.96,0,14.86,0,0,0,0,7.7,0,0,0
 24-34,0,0,0,2.62,0,0,0,0,0,0,0,0,0,0,76.25,0,0,0,0,20.45,0,0,0
 36-46,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,95.92,0,1.38,0,0,31.41,0,0,0
 48-58,0,0,0,65.73,0,0,1.9,0,0,0,0,0,4.12,0.76,147.05,0,0,0,0,26.89,0,0.62,0
 60-70,0,4.92,0,389.94,0,0,1.99,0,0,0,0,0,0,0,198.49,0,0,0,0.67,18.38,0,0,0
 72-82,0,0,0.64,533.34,0,0,11.3,4.51,2.8,1.56,0,0,4.69,0,297.15,0,1.41,0,4.43,25.2,0,0,0.68
 84-94,0,4.84,0,415.06,0.79,3.75,18.69,1.63,0,0,0,0,1.95,0,253.38,0.63,3.11,0,6.88,25.57,1.64,0.78,0
 96-106,0,3.07,3.67,430.91,0,0,22.67,0.66,0.63,0,0.73,0,8.77,5.4,245.36,0,1.18,0,1.3,14.92,0,0,0
108-118,0,2.92,0,385.87,0.51,0,18.81,0.44,0,0.45,0,2.01,0,1.21,207.91,0,0,0,3.2,1.03,0,1.69,0
120,0,0,1.28,492.7,0,0,21.92,0,8.53,0,0,0,1.04,0,454.49,0,2.2,5.75,5.93,13.2,0,9.64,0
