stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,25.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,3.58,0,0,0,0,3.79,0,0,0,0,0,0,0,0
 10-12,0,11.17,0,13.04,0,0,13.56,0,0,0,0,0,0,0,0,0,0,0,0,0,167.22,16.76,0,0,14.79,0,12.82,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.84,0.96,3.67,0,0,0,0,0,0,0,0,0,0,1.06,0,2.67,74.75,0,0,0,0,0,0,1.37,0,23.93,0,0,0,0,0
 24-34,0,0,0.66,0,0,0,3.15,0,2.46,0,0,0,0,0,0,0,0,2.57,0,0.61,281.49,0.64,0,0,0,0,0,0,0,93.01,0,0,0,0,0
 36-46,0,0,0,0,3.64,0,8.36,0,13.63,0,0,0,0,0,0,0,0,9.93,0,0.57,560.09,0,3.82,0,0,6.29,0,0,0,138.72,0,0,0,0,0
 48-58,0.58,0,0,0,5.82,0,61.15,0.85,26.99,0,0.47,0,0,0,0,0.48,7.67,12.61,0,0.97,639.92,0,1.08,7.08,0,0,0,0,0,124.96,0,0,0,0,0
 60-70,0,0,0,0,3.09,0,168.85,0,51.1,0,0.76,0,0,21.15,0,0,0,17.14,1.14,0,754.15,0,1.15,7.64,0,1.08,0,0,0,111.69,0.84,0.84,0,0,15.43
 72-82,0,0,0.69,0,8.28,0.53,106.18,0,45.59,0,0.66,0,0.83,0,2.78,0,0,29.79,0,0,678.34,0,2.62,7.97,0,2.18,0,0,0,46.25,1.06,0,1.46,0.62,2.76
 84-94,0,0,0,0,7.67,2.47,80.2,0,43.93,0.57,1.02,0,0,2.52,0,0,0,21.87,0,0,567.57,0,0,9.56,0,0,0,0,0,47.64,17.05,1.8,0,0,0
 96-106,0,0,0,0,5.82,1.98,44.56,0,50.6,1.47,0,0,0,0,0,0,0,16.33,0,0,398.99,0,2.88,10.98,0,1.18,0,0,0.78,26.63,2.78,2.88,0,0,4.94
108-118,0,0,0,0,1.69,8.89,51.69,0,47.12,0,0,6.21,0,0,2.07,0,0,25.59,0,0.98,485.48,0,0,9.03,0,4.03,0,0,0,24.89,6.21,0,0,0,5
120,0,0,0,0,0,0,70.49,0,65.62,0,0,0,0,0,0,0,0,4.53,0,1.11,713.52,0,0,1.51,0,0,0,0,0,31.04,2.39,4.4,0,0,0
