stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.57,128.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,108.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,11.91,0,11.43,0,0,0,28.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.26,0,0,0,45.89,4.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.6,0,6.18,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.09,14.96,0,0,42.53,0,5.95,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.16,0.82,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,25.6,0,0,0.88,0,0.84,0,2.02,0,0.86,0,12.52,0,0,0,0,0
 24-34,0,0,0,0,2.28,0,0,3.45,0,0,0,0.61,0,0,0,0,0,4.16,0,0,3.32,0,0,1.07,197.26,0,6.4,90.05,0,12.83,0,0,0,0,3.28,19.4,0,0,5.68,0,0
 36-46,0,0,0,0,13.31,0,0,23.62,0,0,1.16,0,0,0.56,0,0,0,4.41,0,0,7.67,0,0,1.26,630.69,0,3.66,87.73,0,15.52,0,0,0.58,0,0,31.03,0,0,0,0,0
 48-58,0,0,0,0,5.67,0,0,93.75,0,0,6.28,0,0,0.58,0,0,0,15.16,0,0.74,13.31,0,0,1.29,572.05,0,2.09,106.2,0,4.53,0,0,0,0,0,52.66,0,0.4,13.29,0,0
 60-70,0,0,0.62,0,11.35,0,0,201.88,0,0,8.91,0.61,0.66,0.78,0,0,0,25.19,0,0,9.96,0,0,2.27,584.66,0,1.82,136.06,0,11.39,0,0,0,0,0,27.69,0.81,0,5.84,0,5.3
 72-82,0,0,0.87,0,6.71,0,0,222.61,0,0,20.88,0,0,6.32,0,0,0,52.33,4.11,0,13.46,0,2.48,0.71,600.88,0,0,310.83,0,0.54,0,0,0,0,0,20.52,4.87,0.87,32.1,0,0
 84-94,0,0,1.46,0,12.06,0,0,176.05,1.68,0,18.28,1.12,0,0,0,2.04,0.67,59.01,0,0,14.37,0,0,1.77,434.56,0,0,541.48,0,3.61,0,0,0,0,0,15.85,9.09,0,35.69,0,0
 96-106,0,0,0,0,4.94,1.5,0.56,220.53,4.4,1.8,21.56,2.66,0,0,0,0.96,0,76.67,37.07,0,9.78,1.66,1.82,0,394.49,0,2.39,567.99,0,12.33,0,0,0,0.71,0,5.92,7.91,2.86,77.47,2.38,1.4
108-118,0,0,1.03,0,4.13,0,0,202.23,0.48,0,50.14,0.61,0,0.56,0.63,0.6,0,53.02,0,0,32.13,0,0,0,437.94,0,2.57,524.82,0,3.92,0,0,1.02,0,0,3.26,17.03,0.54,46.78,0,0
120,0,0,0,0,31.55,1.85,0,286.33,0,0,31.4,0,0,0,3.9,1.66,0,37.88,0,0,22.78,0,11.55,4.48,711.46,0,0,806.97,0,10.53,0,1.12,0,0,0,5.23,7.36,0,113.22,13.54,0
