stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,140.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,92.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.39,0,0,0,8.95,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,18.16,0,0,0,5.53,0,0,0,0,0,0,0,0,0
 14-21,0,5.93,0,8.45,0,0,0,0,0,0,2.28,6.69,0,5.11,38.09,0,0,0,0,0,1.2,3.12,0,2.18,10.15,0,0,2.37
 24-34,0,0.61,0,2.5,0,0.8,0,0.9,0,0,16.19,2.15,0,0,35.49,1.11,0,0,0,0,1.27,0,0,0,8.45,0,0,2.18
 36-46,0,1.38,0,8.39,0.67,0,0,0,2.52,0,2.94,3.19,0,0,36.87,0.62,0,0,0,0,0.67,0,0,0,4.73,0.89,0,0
 48-58,0,1.01,0,7.39,0,0.39,0.67,2.32,0,0.39,6.55,13.03,0.51,0,20.4,0,0,0,0,0,2.06,0,0,0,9.67,0,0,0
 60-70,0,0,0,0.6,0,0,0,1.04,0,0,0,0.75,0,0,24.26,0,0,0,0,0,0,0,0,0,0.62,0,0,0
 72-82,0,0,0,10,0,0,0,0.55,0,0,0,1.88,0,1.05,20.05,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0.73,0,4.97,0,0,0,1.64,0,0,0,2.6,0,0,6.6,0,0,0.79,0,0,0,0,0,0,0.95,0,0,0
 96-106,0,0,0,0,0,0,0,3.02,0.91,0,0,4.07,0,0.79,18.09,0,0,0,0,0.83,0.88,0,0,0,0,0,0.93,0
108-118,0,0.51,0,1.67,0,0,0,0.71,0,0,0,3.57,0,0.72,6.84,0,1.57,0,0,0,0,0,0.84,0,1.51,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0,1.16,0,0,0,0,1.02,0,4.36,0,0,0
