stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,10.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.64,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.69,0,0,18.96,0,0,0,0,0,0,0,0,0
 14-21,0,4.44,3.48,0.9,0.88,0,0,0,0,0,0,0.99,0,0,0,0,0,44.1,0,1.77,0,1.81,1.91,0,0,0,0,0,0,0,8.19,0,0,0,0
 24-34,0,1.95,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,29.26,0,3.78,0,2.27,15.96,0,0.72,0,0,0,0.69,0,0.63,0,2.04,0,0
 36-46,0,1.35,0,8.74,0,0,2.6,0,0,0,0,0.83,0,0,0,0,0,1.56,0,0.77,0,1.78,19.96,0,0,0,0,0,0,0.74,2.98,0,0.7,0,0
 48-58,0,0,0,2.06,0,0,36.57,0,0,0,1.1,0,0,0,0,0,0,30.93,0,0.53,1.2,0,72.15,0,0,0,0,0.81,0,0,2.79,0,0,0,1.94
 60-70,0,0,0,0,0,0,49.68,0.83,0,0,3.5,0,0,1.46,0,0,0,46.03,0,2.18,0,0,37.01,1.12,0,0,0,0.6,0,0,1.24,0,0.79,0,5.56
 72-82,0,0.5,0,0,0,0,32.67,0,0.51,0,1.33,26.17,0,0,0,2.49,0,42.47,0,5.18,0.57,0,51.4,2.81,0,0,0,0.82,0,0,2.06,0,3.98,0,18.56
 84-94,0,1.05,0,0,0,0,76.74,0,0,0,1.46,66.32,0,0.64,0,0,0.66,107.04,0,0,0,0,16.76,0,0,0,0,1.44,0,0,0.66,0,0,1.95,26.38
 96-106,0,2.51,0,1.33,15.31,0,88.36,0,0.97,0,15.34,347.16,0,1.95,0,0,0,429.08,0,18.95,3.48,4.53,142.64,0,0.98,0,0,7.55,0,0,6.89,0.72,1.41,0.79,32.66
108-118,0,0,0,8.44,1.75,1.01,97.14,0,0.58,0,5.02,669.99,0,0,1.03,0,0,948.79,4.51,13.9,0,0,115.64,1.05,0,0,1.83,4.64,0,0,1.2,1.13,0,0,70.36
120,2.37,0,0,5.16,8.72,0,45.05,2.44,0,16.98,0,817.06,3.65,0,0,0,0,522.77,0,17.93,0,2.79,182.04,0,0,0,0,0,0,0,0,0,2.5,0,73.37
