stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,221.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.72,165.13,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0
  7-9,3.82,6.62,0,0,16.07,0,0,0,0,0,100.19,0,42.8,0,0,0,0,0
 10-12,0,26.43,19.05,0,9.01,0,0,0,0,0,93.39,0,13.9,0,0,0,0,0
 14-21,0,0,0,1.91,0,0,0,0,0,0,6.79,0.89,1.33,0,0.84,0.87,3.92,0.96
 24-34,0,0,0,0,0,0,0,0.79,0,0,12.24,0,0,0,0,0,0,0
 36-46,0,0,0,3.39,1.46,0,0,3.38,0,0,7.16,0,0,0,0,0,1.34,0
 48-58,0,0,0,0,3.35,1.65,0,0.73,0,0.57,2.08,0,0,0,0,0,0.85,0
 60-70,0,0,0,0,2.15,0,0,1.37,0,0,8.22,0,0,5.81,0,0,0,0
 72-82,0,0,0,2.65,0,0,0,0.67,0,0,2.54,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.79,0,0.7,0,0,3.69,0,0,0,0,0,0,1.04
 96-106,0,0,0,0,0,0,0,0.64,0.76,0,3.77,0,0,0,0,0,0,0
108-118,0,0,0,0.54,0,0,0.55,0.78,0,0,0,0,0,2.77,0,0,0,0
120,0,0,0,0,0,8.54,0,0,0,0,7.79,0,0,0,0,0,0,0
