stage,endocrine.pancreas,epidermis,eye,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,periderm,somites,spinal.cord,taste
  7-9,0,0,4.54,0,0,4.43,0,0,0,0,3.65,0,0,0,0,0,0
 14-21,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0
 24-34,0,0,0,0.81,0,0,1.73,0,0,0,3.63,1.55,1.03,0,0,0,0
 36-46,0,0,0,1.2,0,0,0,3.95,0,1.03,8.2,0,1.59,0,0,0,0
 48-58,0,0.56,11.43,0,0,0,0.39,2.09,0,14.43,4.88,0.91,1.03,0,0,0,0
 60-70,0,0,30.67,0,0,0,0,1.44,0,2.04,39.37,0,13.79,0,0,2.59,0.77
 72-82,1.25,2.33,33.46,0,0.71,0,0,2.3,1.03,6.16,27.57,0,13.25,0,0,0,8.44
 84-94,0.81,0.73,8.64,1.12,2.91,0,0,1.7,0,4.07,30.48,0,26.31,0,0,0,3.14
 96-106,0,0.76,15.97,5.28,10.89,0,0,3.26,4.2,3.89,23.13,0,30.56,1.25,0,0,22.31
108-118,4.02,0,11.88,0,5.29,0,0.71,2.2,0,20.46,12.68,0,18.4,0,0,0,22.51
120,0,5.51,15.2,0,3.85,0,0,5.97,1.44,11.86,34.18,0,11.13,0,0,0,14.34
