stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,69.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.23,14.57,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0,0
  7-9,0,12.2,3.5,0,0,8.93,0,0,0,0,0,0,0,58.04,10.11,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.35,0,0,0,0,0,0,0,109.05,22.03,0,10.89,0,0,0,0
 14-21,0,0,0,1.82,0,0,0,0,0,0,0,2.47,5.47,20.77,0,1.92,1.13,4.29,11.03,0,0
 24-34,0,0,0,4.93,0.62,0.75,0,0,0.9,1.75,0.6,7.33,5.13,22.81,0,0,0,0,2.62,0,1.78
 36-46,0,0,0,0,0,1,0.67,1.24,0,0.68,0,7.93,1.15,2.67,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.82,0,0,0,0,0,3.73,1.42,2.58,0,0,0,0,0,0,0.75
 60-70,0,0,0,0,0,7.6,0,0,1.22,0,0,9.68,0.72,4.79,0,0,0,0,0,0,0
 72-82,0,0,0,0.61,0,3.41,0,0,2.74,0,0,8.59,0,3.38,0,0,0,0,0,0,0
 84-94,0,0,0,1.39,0,0,0,0,10.39,0,0,9.47,0,15.29,0,0,0,0,0,0.98,0
 96-106,0,0,0,0,0,10.1,0,0,1.77,0,0,0.93,0,0,0,0,0,0,0,2.52,0
108-118,0,0,0,1.24,0,0.69,0,0,3.66,0,0,7.94,0,14.7,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,7.48,0,0,0,0,7.51,0,0,0,0,0,0,0
