stage,eye,glial,hatching_gland,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,spinal_cord,vasculature
  7-9,0,0,3.59,0,0,0,5.5,0,0,5.76,0,0
 14-21,0,0,0,0,0,0,0.92,0,0,0,0,0
 24-34,0,0,0,0,0,1.93,4.42,0,3.82,0,3.94,0
 36-46,0,0,0,0,0.82,0,12.83,0,0,0,2.09,1.67
 48-58,2.77,1.78,0,0,1.56,0,4.42,0,0,0,1.68,0
 60-70,9.35,1.69,0,0,0,0,7.76,0,0,0,1.8,0
 72-82,0,3.14,0,0,0,0,0.91,0,0,0,1.24,0.73
 84-94,5.39,2.68,0,0,0,0,6.94,0,0,0,2.39,0
 96-106,0,0,0,0,1.3,0,0,0,0,0,0,0
108-118,0,0,0,0.65,0,0,7.39,0.45,0,0,0,0
120,0,0,0,0,0,0,3.47,0,0,0,0,0
