stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,63.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.66,0,0,1.17,0,0,0,0,0,0,0,0,0.81,0.9,1.67,0,0,0,0,3.64,2.24,0,0,0
 24-34,0,0.84,0,0,1.17,0,0,0,0,0,4.62,0,0,1.22,0,2.6,0,0,0.78,0,0,1.44,0,0,0
 36-46,0,0,0,0,0,0,0,1.21,0,0,0,0,0,1.17,0,3.46,1.39,0.57,0.9,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0.39,0.42,0,0,0,0,0.52,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.92,0,0,0,0,0,0,0,10.85,1.51,0,2.32,0,0,4.49,1,0,0
 72-82,0,0,0,0,1.04,0,0,2.64,0,0,1.27,0,0,0,0,8.05,0,0,2.55,0,0,0,0,0,0.85
 84-94,0,0,0,0,0,0,0,0,0.69,0,0.84,0,0,1.08,0,16.65,0,0,3.76,0,0,0,0.69,0,1.02
 96-106,0,3.87,0,0,0,0,0,0,0,0,3.42,1.41,0,4.21,1.26,0,0,0,0,0,0,0,0,0.56,0
108-118,0,0,2.95,0.71,7.22,0,0.48,3.33,0.49,0,0.48,0,0.62,5.49,0,9.24,0,3,0,0,0,0,0,1.26,0
120,0,0,0,0,0,2.14,0,8.94,0,0,13,4.28,0,15.41,0,10.23,0,0,0,0,0,0,0,0,0
