stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.23,3.79,2.66,1.71,0,0,0,1.38,0,0,1.15,0,0,0,0,0,0,3.07,0,0,2.47,47.15,0,0,0.94,0,0.97,2.96,0,1.72,5.1,14.54,0,0,0,0,0
 24-34,0.88,0,5.79,0.98,9.49,0,0,0,3.6,0,0,2.7,0,0.67,0.92,0,0,1.9,9.81,0,0,3.07,211.99,0.85,2.45,1.45,0,5.28,0,0,0,1.22,32.89,0,0,4.45,0,2.35
 36-46,0,0,10.19,0,18.22,0,0,1.58,2.52,0,0,0.9,0,0,0,0.77,0,0,11.93,3.65,0,1.23,237.16,0,3.95,0,0,1.39,0,0,0,0,56.54,0,0,2.89,0,2.66
 48-58,0,0,3.01,0,95.22,0,0.88,0,22.44,0,0.39,0,0,0,0,0,0,1.07,26.7,0,0,3.7,380.01,0,2.15,1.11,0,3.46,0,0.37,1.03,0,55.54,0,0.51,9.54,0,1.08
 60-70,0,0,3.6,0,134.26,0,0,1.99,10.88,0.63,0,0,0,1.02,0,0.8,0,0,33.94,0,1.84,4.47,329.98,1.33,1.27,0,0,7.21,0,0,0,0,44.73,0,0.57,1.79,0,5.63
 72-82,0,0.58,13.44,0.54,337.56,0,0,0.59,23.72,0,0,0,2.45,0,0,2.21,0,0,38.19,0.83,2.17,4.27,347.77,0,2.2,3.02,2.24,3.71,0,0,0,0,76.97,1.8,0.5,9.64,3.47,0
 84-94,0,1.42,6.16,0.84,247.54,0,3.69,3.86,24.45,0.84,1.22,1.06,2.26,1.95,0,0,0.82,0,44.92,0,2.31,7.88,312.03,0,0,7.85,0,22.72,0,0,0,0,36.82,0,1.04,2.87,0,8.11
 96-106,0,0,4.97,0,123.89,0,0.59,0,21.67,5.2,0,3.52,0.58,2.97,0,1.74,1.44,0,40.96,1.56,0.8,2.76,206.64,2.51,3.04,2.29,2.53,15.82,0,0,0,0,3.6,0,0.77,8.38,0,1.59
108-118,0,0,10.15,0.52,172.62,1.67,1.63,6.18,33.03,11.04,0,1.49,1.73,0.95,0,0,1.74,0,55.89,0.77,0,7.24,416.07,1,6.86,4.23,0,11.37,0,0,0,0,25.84,0,2.03,7.26,2.61,0.5
120,0,0,9.25,1.09,136.74,0,0,3.48,33.56,2.35,0,0,3.52,0,2.83,1.12,0,0,21.93,0,1.38,5.53,250.77,0,0,5.02,0,8.57,0,0,0,0,2.14,0,0,6.85,0,0
