stage,axial,blastomeres,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,9.76,190.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.58,138.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,33.99,0,4.49,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.64,0,0,0,0,8.35,0,0,0,0
 14-21,0,0,1.05,0,0,0,0,0,0,0,0,29.44,0,0,2.21,0.98,0,2.92,6.57,0,3.91
 24-34,0,0,3.73,0,0,0,1.24,0,3.02,0,0,106.49,1.35,0,0,0,0,0,16.41,0,3.5
 36-46,0,0,5.82,0.62,0,2.41,0,0,5.29,0,0.57,123.54,0,0,0,0,0,0,34.91,0,3.18
 48-58,0,0,11.81,0,0,1.86,0,0,6.75,0,0.8,56.76,0,0,0,0,0,0,17.35,0,2.19
 60-70,0,0,6.62,0,0,1.04,0,0,11.58,0,0,15.43,0,0,0,0,0,0,4.63,0,2.1
 72-82,0,0,0.5,0,0,1.11,0,0,6.35,0,0,13.3,0,0,0,0,0,0,2.61,0,0
 84-94,0,0,2.69,0,1.88,0.59,0,0,1.61,0,0,13.04,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.71,0,0,1.26,0,0.64,6.9,2.11,0,10.59,0,0,0,0,0,0,0,0,0.7
108-118,0,0,3.68,0,0,0.61,0,0.73,3.3,0,0,1.74,0,0,0,0,0,0,0,1.16,0
120,0,0,4.76,0,0,0,0,0,22.67,0,0,6.79,0,0,0,0,0,0,0,0,0
