stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,5.47,0,0,0,0,0,0
 14-21,0,5.16,0.91,0.95,0,1.1,0,0,0,0,0,0,0,0,0,0,20.49,0,7.37,6.02,7.13,0,0,0,0,0,0.92,0,0,0,0,1.92
 24-34,0,1.58,4.35,0,0,56.03,0,0.67,0,0.67,15.3,0,0,0,0,100.08,33.83,1.71,10.62,38.24,0.86,0,0.84,1.61,0,0,0.64,2.51,0,0,0,1.04
 36-46,0,0,0.66,0,0,124.52,0,1.82,2.37,0,10.3,0,0,0,0,342.89,44.53,13.59,3.75,22.26,17.04,0,0,0,15.27,0,0,9.09,0,0,0,0
 48-58,0,0,0,0,0,82.23,0,0.81,2.28,0,9.08,0,7.85,0,0,281.08,58.06,2.35,2.84,34.2,1,0,0,0,2.11,0,0,9.65,0,1.97,0,2.85
 60-70,0,0,1.02,0,0,142.74,0.65,0,3.18,0,1.36,0,1.53,0,0,193.59,86.5,0.67,5.13,36.7,0,0,1.22,1.53,1.18,0,0,0.88,0,0,0.98,0
 72-82,0,0,0,0,0,129.08,0,0,11.75,0.67,0,0,2.18,0,0,144.72,96.55,2.51,6.91,17.8,0,0,4.41,0.59,0,0,0,2.12,0,0,0,0
 84-94,0,0,1.01,0,0,210.15,0,2.2,8.47,0,2.14,0.91,0.73,0,9.21,329.14,78.39,3.18,2.35,18.87,0,0.9,12.99,0,1.12,0,0,6.32,0.74,5.47,0,0
 96-106,0,0,5.26,12.84,0,155.11,0.88,2,21.37,0,6.14,0.9,1.28,1.04,0,162.7,120.48,0,1.21,25.11,0,0,18.07,0,2.73,0,0,12.58,1.58,1.22,1.83,1.59
108-118,0,0.44,1.6,0,4.79,119.82,0,1.03,13.15,2.67,0,0,0.41,0,0,213.6,133.56,6.84,5.27,21.37,0,0,9.7,0,0,0,0,0,0,2.32,1.61,0.72
120,0,6.07,0,6.33,0,109.18,0,0,16.58,3.73,3.83,0,5.27,1.11,0,114.08,154.53,6.62,0,35.28,0,0,47.67,0,0,0,0,0,0,2.03,0,0
