stage,endoderm,erythrocytes,eye,fin.mesenchyme,heart,iridophores,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,pericytes,spinal.cord,xanthophores
  7-9,3.64,0,0,0,0,0,0,0,4.02,0,4.36,0,0,0
 14-21,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,6.07,0,0.69,0,4.59,0,0,0,0,0,0.64,4.72
 36-46,0,0,4.51,0.82,0,0,2,0,0.93,0,0,0,0,3.27
 48-58,0,0,3.35,0,0,0.97,1.86,0,1.18,0.78,0,0,0,6.28
 60-70,0,0,13.02,0,0,4.76,0,0,1.45,0,0,0,0,3.8
 72-82,0,0,6.91,0,0,1.41,3.09,0,3.02,0,0,0,0,5.81
 84-94,0,0,10.19,0,0,3.77,0,0,0,0,0,0,0,16.49
 96-106,0,2.39,17.18,0,0,6.92,0,2.88,0,0,0,0,0,8.57
108-118,0,0,17.98,0,0,9.42,9.23,0,6.26,0,0,0,0,9.81
120,0,0,0,0,0,3.64,0,0,0,0,0,3.68,0,14.33
