stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.33,5.09,0,0,4.17,0,0,0,8.65,0,0,0,0,0,0,0,0,93.23,11.08,0,0,25.07,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,109.74,5.66,0,0,7.54,0,0,0,0,0,0,0,0
 14-21,0,0,4.87,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0.87,7.62,0,0,0,2.6,0,0.9,0.84,5.86,0,0,0,0
 24-34,0,1.2,0.85,0.66,0,0,0.85,0,0,0,3.85,0,0,5,0,0,2.14,44.42,0,0,0.61,0,0,0,0,8.12,0,11.35,0,0
 36-46,0,0,2.03,0,8.76,0,2.18,0,0,0,0.98,0,0,6.57,0,0,1.51,42.83,0,0,0,0,0,0,0,4.31,0,0,0,0
 48-58,0,0,0,0,9.56,0,2.26,0,0,0.42,7.03,0,0,0.42,3.76,0.69,2.49,42.4,0.93,0,0,0,1.19,0,0,11.61,0,0,0,0
 60-70,0,0,4.02,0,28.1,0,0.9,0,0,0,1.5,0,0,2.35,0,0,0,50.69,0,0,0,0,0,0,0,2.66,0,0,0,0
 72-82,0,0,1.53,0,11.23,0,3.49,1.65,0,0,1.26,0,3.06,5.3,0,1.07,0,35.71,0,0,0,0,0,0,0,1.67,0,2.85,0,0
 84-94,0,0,6.98,0,11.67,0,0,0.67,0,0,2.9,0,0.6,0.84,0,0,0,20.67,0,0,0,0,0.6,0,0,0,4.12,5.96,1.36,0
 96-106,0,0,7.97,0,7.81,1.02,0,10.32,0,0,3.63,0,0,1.14,0,0,0.59,17.58,0,4.31,0,0,0,0,0,0,0.71,0,0,0
108-118,0,0,6.21,0,8.09,0,0,7.83,0,0,8.28,1.11,0,3.29,0,0,0,6.02,0,2.53,0,0,1.52,0,0,0,9.31,0,0,0.96
120,0,0,1.07,2.16,0,0,3.32,14.08,0,0,1.4,0,0,35.04,0,0,1.11,48.94,0,0,0,0,0,0,0,0,1.65,0,0,0
