stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,14.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.2,0,0,0,0,0,0,0,0,0,13.31,0,0,0,0,0,0,0,0,0,0,0,24.8,0,0,0,21.12,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.67,0,0.88,0,0,0,0,0,0,12.88,0,5.96,0,0,0,0,0,0,0,0,0,0,0.92,115.26,0,0.98,0,0,0,0,0,25.97,0,43.02,0,0,0,0,0
 24-34,0,0,3.79,0,6.78,0,0,15.75,0,0,0,39.81,0,0,0,0,0.69,0,0,0,0,14.6,0,0,5.82,1000.62,0.74,0.96,0,0,0,6.82,0,105.44,0,259.69,0,0,6.47,0,0
 36-46,0,0,0,0,1.08,0,0,21.04,0,0,0,142.7,0,0,0.82,0,0,0.57,0,0,0,7.52,0,0,3.46,2832.56,0,0,0,0,0,6.8,0,76.32,0,596.91,0,0,10.21,0,0.7
 48-58,0,0,1.78,0,30.05,3.55,0,361.82,0.85,1.85,7.31,384.49,1.15,0,0.63,0,0,0,0.45,0,7.73,63.92,0,0,7.92,5487.3,0,5.63,2.51,0,0,7.3,0,48.09,2.34,1091.33,0,0,20.67,0,7.75
 60-70,0,0,1.27,0,19.22,1.26,0,1744.78,0,0.66,0,545.68,8.85,0,3.01,9.06,0,8.6,1.52,5.16,1.24,145,0,1.78,5.75,8528.24,2.95,6.02,3.19,0,0,6.9,0,32.02,0,1004.61,0,5.2,11.66,2.72,16.7
 72-82,0,0,5.29,0,28.37,27.02,0,2487.41,8.37,1.59,8.38,686.97,9.87,0,3.44,3.55,0.66,5.79,5.28,3.56,0.95,163.96,4.03,8.55,10.76,6699.65,0,3.61,20.34,0,5.35,3.04,0,49.72,8.92,759.99,3.98,7.36,21.75,5.45,17.13
 84-94,0,0,4,0,44.16,1.37,0,1577.08,0.57,0.63,16.37,495.65,16.94,0.76,2.09,2.34,0,13.35,1.55,1.65,0,126.4,0.91,10.17,13.26,4201.22,0,5.49,24.9,0,1.74,21.94,0,82.7,0.64,443.28,1.7,15.79,8.02,5.07,5.84
 96-106,0,0,13.68,0,17.57,6.43,0.66,1201.16,1.49,6.58,1.42,528.57,29.66,0,3.66,1.86,0.9,0,4.05,12.18,0.68,94.66,0,5.11,10.2,3389.64,0,8.1,12.8,0,4.91,8.27,0,75.86,0,272.11,2.03,1.81,7.31,2.79,9.23
108-118,3.02,0,11.16,0.74,25.2,2.19,1.01,1013.9,0.65,0,6.22,553.73,42.5,0,0,1.47,1.18,3.13,0,1.9,0.61,102.06,0,8.33,7.13,4285.13,0,3.1,21.25,0,0,4.58,0,84.05,0,195.7,1.67,0,2.57,5.66,0
120,0,0,4.34,0,34.89,28.92,0,1125.47,0,2.32,0,994.62,40.27,0,2.18,6.25,4.01,0,5.46,50.44,1.79,72.08,1.49,0,7.25,6338.95,1.77,3.27,6.36,0,16.26,25.4,2.5,57.43,1.63,266.56,0,0,7.24,0,0
