stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,951.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.8,0,0,0,0,0,0,0,0,0
  5-6,27.19,390.2,0,0,0,0,0,0,0,0,0,0,29.79,0,0,0,0,0,0,0,0,0,7.86,0,0,0,70.63,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,37.88,0,0,0,15.93,0,0,0,0,452.92,0,0,0,0,0,0,0,0,0,103.17,0,0,0,211.24,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.47,0,0,0,10.82,0,0,0,0,137.46,0,0,0,0,0,0,0,0,0,302.19,0,0,16.42,81.76,0,29.24,0,0,0,0,0,0,0
 14-21,1.39,0,0.82,0,126.85,1.27,0,0,7.55,0,0,3.43,14.76,0,0,18.31,0,0.92,0,11.82,2.19,5.84,34.29,25.01,0.81,0,180.74,0,3.07,0,1.88,1.18,0,0,0,0
 24-34,0,0,1.23,0,101.71,0,0,1.12,37.17,0,0,2.17,2.67,0,0,35.96,0,14.58,0,6.23,14.8,3.5,67.92,203.06,11.71,0,168.36,0,4.4,0,0,4.26,0,0,0,0
 36-46,0,0,0,0,9.53,0,0,0.76,14,0,0,0,2.19,0.92,0,1.61,0,14.16,0,0.81,9.12,0,101.19,124.22,2.96,0,257.99,0,4.19,0,0,3.23,0,0,0,0
 48-58,0,0,0,0,8.35,0,0,7.46,8.99,0,0.56,0,9.23,0,0,9.77,0,14.96,0,1.15,9.84,0.62,30.21,88.91,3.33,0,123.77,0.56,0.88,0,0,3.79,0,0,0.76,3.67
 60-70,0,0,4.39,0,15.75,0,0,9.19,9.52,0,0.73,1.26,6.64,0,0,0,0,23.32,0,1.31,5.7,0,28.81,86.95,0.98,0,116.45,0,0,0,0,1.29,0.61,0,0,0
 72-82,0,0,0,0,15.29,0,0,1.18,1.29,0,2.91,11.35,1.49,0,0.54,0.63,0,47.46,0,9.82,43.53,0.92,15.69,157.7,4.5,0,66.01,0,0,0,0,2.82,6.11,0,0,0
 84-94,0,0,4.58,0,28.85,0,0,5.96,12.5,1.09,0,13.81,2.47,0,0,8.3,0,79.42,0,1.83,23.38,0,4.43,171.99,1.87,0,143.19,0,6.92,1.43,0,0,22.53,0,0,0
 96-106,0,0,0,0,45.13,0,0.77,6.01,7.4,0,3.38,23.33,0,0,0.91,6.8,0,86.84,3.07,10.54,52.81,0,8.93,280.74,2.56,0,145.03,0,4.35,0,0,0,49.48,0,1.79,0
108-118,0,0,0,0,42.5,0,0,2.49,4.46,0,0.54,27.2,2.74,0,0.51,8.07,0,66.31,0.47,5.02,30.24,0,30.64,225.1,1.19,0,108.97,0,4.76,0,0,0,42.17,0.86,1.36,0
120,0,0,0,0,22.59,0,0,0,2.36,0,0,15.51,0,0,0,6.11,6.33,70.05,4.74,0,34.64,0,11.79,173.95,0,0,76.99,0,0,0,0,0,26.79,0,0,0
