stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,26.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.91,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.61,1.1,4.43,0,0,0,0,0,0,0,0,0,0,6.84,0,8.64,43.84,4.13,0,0,0,0,0,0,0,1.58,15.42,0,0,0,0,0
 24-34,0,0,0,1.87,0.67,13.31,0,0,0,1.24,0,0,0,0.63,0,0,20.82,0,5.23,116.62,1.64,0,0.74,0,0,0,0,0,0,49.53,0,0,0,0,0
 36-46,0,0.73,0,0,0,33.05,0,0,0,8.08,0,0,0,2.13,0,0,35.05,0.8,10.37,125.23,0.65,0,0,0,0,0,0,0,0,41.41,0,0,0,0,0
 48-58,0,0,0,2.84,0,91.18,0.86,0,0.39,5.9,0,0,0,0.4,0,0,27.86,2.43,4.72,68.48,2.19,0,0,0,0,0,0,0,0,4.93,0,0,0,0.5,0
 60-70,0,0,0,0,0,731.7,0,0,0,9.87,3,0.7,0,2.72,0,0,45.56,2.6,6.02,211.97,8.54,0,0,0,0.71,0,0,4.09,0,17.82,0,0.8,0,0,0
 72-82,0,0,0,2.13,0.68,1154.39,0.49,0,1.27,27.17,0,0,0,8,12.38,0,40.49,1.81,7.98,235.86,1.78,0,2.63,0,0.77,0,0,1.81,0,26.9,0,1.35,0,2.86,0.67
 84-94,0,1.05,0,0,0,672.46,0,0,0,27.4,0,0,0,2.58,1.15,0.98,37.15,4.1,9.51,191.11,4.94,0,6.27,0,1.43,1.14,0,1.33,0,9.36,0,0,0.8,0.98,0
 96-106,0,0,0,6.06,0,1089.65,0.68,0.58,6.2,53.33,0.87,0.63,0,9.63,0,0,51.02,1.72,19.28,276.82,8.18,1.03,17.9,0,9.44,0.88,3.39,1.3,0,6.88,1.68,0,4.91,0,0
108-118,0,0,0,4.21,0,987.97,0.47,0,2.02,28.83,0,2.15,1.06,9.58,0.88,0,46.02,0.46,8.56,357.04,4.88,0,10.02,0,0,0,0,1.02,0,6.17,0,2.32,0,0,0
120,2.37,2.52,0,8.8,0,659.38,0,0,0,61.64,0,0,0,19.56,0,0,66.52,1.26,4.53,415.4,8.98,0,4.98,0,0,6.29,0,0,0,0,0,1.32,0,0,0
