stage,axial,blastomeres,endoderm,erythrocytes,eye,fast.muscle,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord
  3-4,37.57,816.64,0,0,0,0,0,0,0,0,21.19,0,0,0,0
  5-6,75.78,1304.12,6.55,0,0,0,0,41.52,0,6.91,0,0,0,0,0
  7-9,50.99,94.59,161.53,0,154.37,0,54.22,1754.48,64.02,605,3.89,22.89,0,0,0
 10-12,0,60.52,67.47,8.6,157.13,0,21.52,1564.98,51.34,492.61,7.72,19.06,80.85,4.89,0
 24-34,0,0,0,0,0,0,0,5.83,0,0,0,0,0,0,0
 48-58,0,0,0,0,3.31,0.53,0,4.8,0,0,0,0,0,0,4.67
 84-94,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.89,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,17.02,0,0,0,0,0,0,0
