stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,93.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84,0,0,0,7.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.32,6.19,2.05,0.96,0,0,0,0,0,0,3.64,0,0,7.68,34.96,0,0,0.99,0,0,0,1.82,1.83,4.78,5.01,0,0,0,0
 24-34,0,0,1.87,0,0,0,0.76,0,0,0,0,2.36,1.33,0,1.7,10.17,0,0,0.88,0,0,1.06,0,0,0,8.96,0,0.68,0,0
 36-46,0,0,2.91,0,0,0,0,0,0.9,0,0,2.47,0,0.67,2.59,19.08,1.14,1.55,0.76,0,0,0,0,0,0,7.77,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0.4,0,21.84,0,2.43,0,0,0,0,0,0,0,0.76,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,22.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.85,13.31,0,0,3.69,0,0,0,11.63,0,0,0,41.58,0,0,0,0,0.84,1,0,0,0,3.64,0,0,0,3.11
 84-94,0,2.82,4.63,9.97,3.65,0,0,3.81,1.5,0,0,13.24,0,0,0,27.71,0,0,0.68,0,0,1.21,0,0,0,2.84,0,0,0,3
 96-106,0,0,0,0,15.76,0,0,12.73,0,0,1.48,8.71,0,0.84,0,19.34,0,0,0,0,0,4,0,0,0,0,1.21,0,0,0
108-118,0,0,5.31,2.83,0,0,6.24,14.77,0,0.54,0,13.72,0,0,0.9,40.33,0,0,0.49,0,0,3.3,0,0,0,4.32,2.13,0.43,1.9,0
120,0,0,0,17.55,3.72,7.21,0,0,0,4.88,14.75,28.93,0,0,0,83.39,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0
