stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,85.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,71.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.63,67.47,0,247.13,0,0,325.45,0,0,0,0,0,190.01,0,0,0,0,0,0,0,0,0,1120.49,0,0,0,10.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,67.8,0,431.84,0,4.74,445.37,0,0,0,0,0,205.91,0,0,0,0,3.73,0,0,0,0,5311.97,11.43,0,0,129.76,0,11.7,0,0,7.22,0,0,0,0,0
 14-21,0,0,0,0,316.45,1.68,4.79,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,1.03,603.35,0.82,0,0,0,0.98,0,0.89,0,6.17,78.7,0,0,0,0
 24-34,0,0,0,0,13.46,0,4.08,0,0,0,1.01,0,0,0,0,0,0,0,11.64,0,0,3.41,617.56,0,0.78,0,0,1.65,0,0,0,0,72.3,0,0.94,0,0
 36-46,0,0,0,0,1.36,0,9.41,0,0,0.57,36.17,0,0,0,0,0,0,0,11.68,0,6.41,0,1396.27,0,0,0,0,0,0,0,0,0,65.9,0,0,0,1.62
 48-58,0,0,0,0,23.51,1.92,71.53,0,0.39,0,64.81,0,0,0,0,0,0,0,6.61,0,0,1.16,2053.7,0.81,0,0.46,0,3.67,0,0,1.98,0,34.86,0,0.87,0,0
 60-70,0,0,0,0,18.18,0,1672.27,0,1.59,0,66.14,1.58,0,4.63,0,0,0,0,7.08,0,0,15,2421.82,12.66,0,0,0,5.75,0,0,0,0,25.21,1.19,7.15,0,5.13
 72-82,0,0,0,0,15.19,3.51,2714.43,0,0,3.87,50.37,0,0,1.07,0.64,1.21,1.05,0,17.88,0,1.52,2.05,1217.74,2.2,0.55,1.35,0,1.7,0,0,0.64,0,11.91,1.08,7.87,0,2.52
 84-94,0,0,0,0,32.79,2.57,1056.05,0,8.26,7.16,75.63,0,0,0,0.73,0,0,0,12.36,0,0,3.58,1007.61,13.45,0,2.28,0,2.43,0,0,0,0,10.95,0,0,7.06,0
 96-106,0,0,1.82,0,16,16.42,1601.71,0.94,0,0,50.67,0.78,0,0,1.36,0.77,0,0,14.72,1.66,0,0,523.24,6.2,3.09,1.77,0,1.29,0,0,4.77,0,0,0,0,0.59,0
108-118,0,0,0,0,17.67,1.95,970.02,0,0,0,70.3,0,0,0,0,0,0,0,4.68,1.12,0,2.13,727.74,13.7,0.67,0,0,1.23,0,0,0,0,0.47,0,0,0.65,0
120,0,0,0,0,4.1,0,676.22,10.42,0,1.56,216.41,0,0,3.24,0,0,0,0,30.67,0,0,0,1809.28,80.37,24.87,0,0,1.38,0,0,0,0,0,0,0,0,0
