stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,54.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,131.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.69,0,15.79,0,0,25.79,0,0,0,0,0,0,0,0,0,0,0,0,0,133.87,12.34,0,0,96.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,24.87,0,10.76,40.26,0,0,9.68,0,0,0,0,0,0,0,0,0,0,354.9,17,0,0,118.57,0,0,0,16.82,0,0,0,0,0,0
 14-21,0,2.79,1.84,24.41,9.03,6.38,69.99,1.08,0,0.92,0,0,0,1.85,0,0,13.19,0,0,166.62,0.85,7.52,15.3,7.11,0,1.53,5.76,84.85,4.4,202.52,0,0,0,0
 24-34,0,1.55,0,1.96,0,9.5,58.55,0,0,0,0,0.63,0,0.7,0,0,5.88,0,0.75,142.94,0.69,27.13,4.82,0,1.42,0,0,50.27,0,142.36,0,0,1.38,0
 36-46,0,0,0,0.98,0,10.19,25.83,0.56,0,0,0,0,0,0.66,0,0,1.18,0,0,114.11,1.44,30.41,9.05,0,0,0,0,17.47,0,71.41,0,0,0.81,0
 48-58,0,0,0,0,0,25.57,37.48,0,0,0,0,0,0,0.48,0,0,2.67,0,0.86,115.38,0,27.64,5.27,0,2.51,0,0,16.62,0,64.81,0,0.42,0,0.68
 60-70,0,0.62,0,0,0,40.93,26.16,0.62,0,0,0,0.86,0,3.19,1.41,0,5.28,3.12,0,120.24,0,26.24,5.68,0,0,0,0,22.98,0,32.46,0,0,0,0
 72-82,0,1.3,0,0,0.5,40.1,25.79,0.97,0,0,0,0,0,5.58,0,2.32,5.62,0,0.5,107.86,0,35.81,9.11,0,0,0,0,1.15,0,17.61,0,0,0,0
 84-94,0,2.68,0,0,6.5,35.4,17.64,0.84,0,0,0,0.6,0,4.06,0,0,4.5,0,0,83.29,0,44.41,20.6,0,0,0,0,7.59,0,20.28,0,0,0,0
 96-106,0,1.23,0.81,2.14,0,11.27,18.43,1.13,0,0,0,0,5.85,10.04,0,0,1.73,0,0,68.85,0,73.21,22.75,0,0,0,0,7.89,0,15.55,1.23,0,0,0
108-118,0,2.49,0.51,0,0,18.41,16.11,0,0,0,0,0,0,7.77,0,0,0.73,0,1.88,56.05,0,30.09,15.44,0,0,0,0,5.11,0,15.57,1.13,0,0,0
120,0,0,0,0,0,14.24,2.4,0,0,0,1.18,0,0,6.97,3.16,0,9.44,0,0,42.9,0,11.48,20.03,0,0,0,0,7.34,0,2.14,0,0,8.91,0
