stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature
  3-4,57.84,80.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,93.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,22.67,0,0,0,0,0,0,0,0,0,0,0,0,0,103.53,0,0,37.04,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.07,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,117.02,40.28,0,27.39,0,0,4.94,0,0,0,0,0
 14-21,0,0,0,0,2.19,0,0,0.84,0,0,0,0,0,0,0,4.69,0,0,6.49,0,4.22,34.55,0.82,0,0,0,0,0,0,0.81,9.78,0,0.89
 24-34,0,0,0,0,1.6,0,0,6.13,0,0,0,0,0,0,0,14.15,0,0,5.16,0,0.78,32.82,10.49,0,0,0,1.53,0,0,0,29.37,0,5.33
 36-46,0,0,0,0,0.78,0,0,11.14,0,0,0,0,0,0,0,5.77,0,0,1.61,0.87,0.6,37.31,12.02,0,0,0,0,0,0,0,16.18,0,0.91
 48-58,0,0,0,0,0,0,0,23.72,0,0,0,0,0,0,0,2.55,0,0,1.25,0,5.37,9.53,10.23,0,0,0,0,0,0,0,3.26,0,0
 60-70,0,0,0,0,0,0,0,19.01,0,0,0,1.12,0,0,0,4.6,0,0,6.04,0,2.85,14.13,0,0,0,0,0,0,0,0,1.03,0,0
 72-82,0,0,1.04,0,0,0,0,27.74,0,0,0,0.5,0,0,0,12.94,0,0,7.9,0,1.07,18.9,0,0.79,0,0,0,0,5.08,0,0,19.41,0
 84-94,0,0,0,0,3.27,0,0,38.83,0,0,0,0,0,1.81,0,17.48,0,0,7.54,0,0,9.03,4.93,0,0,0,0,0,1.74,0,0.63,62.91,0
 96-106,0,0,0,0,4.41,2.86,0,99.42,1.46,0,0,6.96,2.28,0,0,37.3,0,0,1.38,0,0,17.6,0,0,0,1.17,2.33,0,0.82,0,0.91,262.05,0
108-118,0,0,0,0,9.84,0.72,3.43,124.49,0,0.7,0,3.53,0,0,1.18,22.66,2.1,0,3.75,0,0.51,35.33,0.69,0,0,0,0,0,3.11,0,0,275.81,0
120,0,0,0,0,5.88,0,0,82.61,0,0,1.44,0,0,0,0,26.41,0,1.23,10.31,0,0,24.96,0,0,0,0,0,0,2.89,0,0,77.12,0
