stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,10.19,84.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0
  5-6,20.29,100.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.44,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.29,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.99,0,0,0,14.6,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.89,0,7.57,0,0,0,0,0,0,0,0,0,6.73,0,0,18.05,280.76,0,0,0,0,0,0,0,1.39,70.42,0,0,0
 24-34,0,0,0,2.52,0,2.61,0,0,0,9.27,0,0,0,0,0,35.75,0,0,94.58,1028.87,2.54,0,0,0,0,9.4,0,0,290.21,0,0,2.6
 36-46,0,0,0,0.94,0,11.79,0,0,0,23.1,0.62,0,6.31,0,2.81,19.22,0,0,114.25,2518.31,3.89,2.06,6.37,0,7.56,11.3,0,0,560.7,0,0.68,0
 48-58,0,0,0,6.03,0,78.66,0,0,0,81.31,0.47,0.78,0,0,0.54,13.31,0,0,92.69,2038.09,1.26,0,0.97,0,7.73,0,0,0,550.74,0,6.79,0.91
 60-70,0,0,0,2.48,1.04,36.23,0,0,0,38.52,0,0,0,0,0,17.56,0,0,29.32,1419.03,2.27,3.96,0,0,3.01,0,0,0,331.95,0,0,0
 72-82,0,0,0,0.54,3.51,67.05,8.25,0,7.14,18.39,0,1.03,0,2.33,0,11.53,0,0,18.18,894.45,0.73,1.91,0,0,3.6,0,0,0,127.45,0,0.83,8.1
 84-94,0,0,0,1.54,0,38.26,0,0.57,0,10.48,1.81,3.23,0,0,0,18.64,0,0.85,12.81,433.87,0.56,1.1,0,0,8.76,0,0,0,109.34,0,0,0
 96-106,0,0,0,0,9.11,23.18,0,0,0,7.56,0.95,0,0,0,0,7.05,0,0,2.96,272.89,0,0,0,0,0,0,0,0,49.44,1.65,0,4.75
108-118,0,0,0,4.11,1.42,6.86,0.72,0,0,6.93,0.43,0,0,0,0,1.38,0,0,11.75,399.97,0,1.07,0,0,0,0,0,0,6.41,0,0,0
120,0,0,0,0,0,15.86,0,0,0,13.45,0,1.17,0,0,0,0,3.31,0,10.78,440.78,0,0,0,0,0,0,1.62,0,7.42,2.41,0,0
