stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.14,6.59,60.37,21.08,0,36.15,0,0,0,0.89,9.81,36.63,0,0,23.35,0,0,11.36,9.49,2.84,0,8.22,237.79,0.95,4.58,7.22,0,81.49,4.26,11.3,0.85,74.21,0,0,4.35,0,0
 24-34,0.66,1.53,17.85,2.63,0,52.98,0,1.23,0,3.39,4.3,4.1,1.06,0,31.82,0,5.88,0,26.02,13.53,0,8.01,993.59,4.6,17.53,9.16,0,260.71,0,19.18,1.89,189.69,0,0,16.5,0,0
 36-46,0,1.67,27.73,0,0,108.23,0,1.71,0.6,25.06,0.67,0,0,2.72,39.84,0,3.63,0,21.31,10.57,0,0.65,1436.79,0,25.14,3.96,0,282.49,0,24.68,0,324.69,0,0,7.52,0,0
 48-58,0,0,5.98,0,0,560.44,0,3.6,1.29,41.01,0,6.8,0.76,0,32.3,3.06,4.47,1.04,24.51,15.59,16.08,3.92,1367.73,1.33,24.75,11.36,0.56,171.03,0,3.25,0,217.53,0,0,8.46,0,1.18
 60-70,8.21,0,10.87,0,0,1942.97,0,3,0.87,74.59,9.85,4,0,0.6,8.78,4.75,5.15,1.73,50.55,14.45,2.07,2.14,1621.54,0,11.45,4.24,0,118.91,0,15.63,0,229.1,1.6,1.42,4.9,0,4.99
 72-82,2.85,0,28.91,2.57,0,1282.72,0,0.51,0.89,90.39,6.29,1.03,2.22,2.16,11.78,9.16,6.55,2.04,42.93,21.99,11.06,0.8,1140.02,0,11.88,22.33,0,87.74,0,7.3,0,209.89,5.23,3.71,11.72,0.77,2.37
 84-94,6.13,0,20.71,0,1.44,998.09,0,3.3,0,88.29,31.97,8.41,0,0,14.94,12.25,7.54,5.55,70.35,35.46,15.44,8.89,838.2,0.67,11.14,17.35,0,222.91,0,22.34,0,147.77,26.44,7.68,20.15,0.82,19.09
 96-106,4.12,0,31.51,3.67,3.95,888.2,0,2.66,1.1,78.69,35.33,1.06,0.73,0,14.75,7.5,15.52,3.92,35.64,31.4,11.83,3.77,819.7,0,30.81,12.08,1.05,196.8,0,24.6,0,47.6,29.06,1.16,21.56,4.28,8.21
108-118,0.97,0,47.32,0.57,17.41,737.69,0.58,2.85,0,70.46,37.96,0,0,0.63,32.83,25.38,12.93,14.63,65.01,35.23,4.96,4.05,896.44,0,14.91,36.32,0,154.18,0,18.38,0,35.39,41.77,1.57,28.98,4.04,5.99
120,0,4.45,68.37,1.99,0,456.82,1.18,4.52,0,120.92,40.38,0,0,1.14,22.2,30.37,5.94,11.57,19.39,28.66,0,1.44,1082.47,0,18.46,32.33,0,99.87,0,18.81,0,52.23,11.68,9.55,17.57,0,0
