stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,57.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.21,0,0,0,0,0,4.59,0,0,6.39,0,0,0,0
 10-12,0,0,0,3.77,0,0,0,0,0,0,0,0,0,19.02,0,0,0,0,0,0,0
 14-21,0,0,0.94,1.47,0,1.15,0,0,0,0,0,0,0,4.69,0,0,0,7.83,1.78,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,0,3.18,0,0
 36-46,0,0,0,1.2,0,1.39,0,0,0,0,4.53,1.03,0,11.34,0.9,0,0,1.55,0.93,0,0
 48-58,0,0,0,8.26,0,0,0,0,0,0,0,0.96,0.38,5.69,0,0,0,0.43,2.58,0,0
 60-70,0,0,0,3.5,0,0,0,0,0,0,0,1.78,0,4.73,0,0,0,0,0,0,0
 72-82,0,0,0,1.83,0,3.52,0,0,0,0,0,0,0,3.02,0,0,0,0,0,0,0.52
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0
 96-106,0,4.72,0,1.37,0.91,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0
108-118,0,1.18,0,3.54,0,0,0,0,0,0.78,0,0,0,0,0,2.34,0,0,0,0,0
120,0,0,0,0,0,0,1.26,0,2.07,0,0,0,0,0,0,0,0,1.45,0,0,0
