stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,mesenchyme,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,1.1,2.8,0,1.7,0,0,0,0,0,0.91,8.72,0,0,1.12,1.89,1.91,2.92,2.31,0,4.71,0
 24-34,0,0,1.75,0,0,0,0,0.92,0,1.13,0.66,18.9,0,0,0,0,0,0,8.59,0,0.91,0
 36-46,0,0,0,0,1.56,0,0,0,0.84,1.96,0,30.64,0,0,4.26,0,0,0,5.26,0,0,0
 48-58,0,0,0,0,10.15,0,2.23,0,0,4.81,0.61,51.88,5.5,1.69,0,0,0,0,10.65,0,0,0
 60-70,0,2.79,5.04,0,38.74,0,3.49,0,0,0,0,57.74,0,0,0,0,0,0,10.32,0,0,0
 72-82,0,0,1.33,1.07,26.81,0,2.35,0,0,1.26,0,46.77,0,0.53,2.83,0,0,0,4.73,0,0,0
 84-94,0,0,1.08,0,18.49,3.54,3.9,1.87,0,2.77,0,46.19,0,0.8,2.66,0,0,0,2.82,0.55,0,0
 96-106,1.43,0,1.84,2.12,6.72,0,6.37,1.55,0,4.05,0,45.28,0,0,5.18,0,0,0,3.09,2.14,0,0
108-118,0,0,0.93,3.29,10.27,0,6.28,0,0,0.43,0,22.45,0,0.64,5.23,0,0,0,0,0.69,0,2.34
120,0,0,1.83,0,14.35,0,1.31,0,0,0,0,33.19,0,1.77,4.29,0,0,0,0,0,0,0
