stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,olfactory,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,9.38,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.93,0,0.96,0,0,1.57,0,0,0
 24-34,0,0,0,0,0,0,0,1.94,8.94,1.63,1.6,0,0,2.99,0
 36-46,0,0,0,0,0.9,0,0,0,13.74,0,1.01,0,0,3.76,0
 48-58,0,0.38,3.09,0,0.9,0,1.66,0,7.52,0,0,0,0,2.88,1.65
 60-70,0,0,12.99,0,0,0,2.73,0,6.7,1.19,0,0,0.6,0,0
 72-82,0,0,1,2.48,0,0,10.21,0,11.99,1.03,0,0,0,0,0
 84-94,0,0,11.86,0,0,0,1.8,0.7,2.56,0,2.71,0,0,0,5.21
 96-106,0,0,0,0,0.74,0,3.11,0,6.39,0,0,0,0,0,0
108-118,0,0.53,3.11,0,0,1.36,0,0,3.53,0,1.63,0,0,4.38,0
120,0,0,0,0,0,0,0,1.08,6.39,0,0,0,0,0,0
