stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,40.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,0,1.07,0,0,0,0,0
 24-34,0,2.07,1.32,0,0,0,0,0,0,0,0,0,5.67,0,0.64,0,1.12,28.28,8.68,127.96,0,0,8.18,0,0,0,0
 36-46,0,2.54,0,0,0,0,0,0,0,0,0,0,10.82,0,0,0,0,71.97,9,49.97,0,0,17.64,0,0,0,0
 48-58,0,0.99,0,0,0,3.6,0,0,0,0,0,0,16.99,0,5.49,0,0,39.68,8.47,74.83,0,0,13.92,0,0,0,9.74
 60-70,0,1.79,0,0.68,0,2.12,0.67,0,0.65,0,0,0,52.35,0,2.24,0,0,37.15,8.82,188.21,0.61,0,14.78,0,3.4,0,0
 72-82,0,1.31,0,0,0,7.9,0,1.17,1.68,0,0,0,108.01,0,2.65,1.35,0,65.41,3.06,327.03,0,0,7.98,2.87,0,0,0
 84-94,0,0.71,0,1.79,0,4.52,0,6.84,1.69,0.93,0,0,98.14,0.83,4.15,0,0,48.67,17.06,332.69,0,0,10.54,0,0,0,0
 96-106,0,0.59,2.18,10.7,0,4.04,0,0,5.71,0.85,1.94,0,233.92,0,5.11,0,2.18,76.45,14.02,441.57,0.69,0,0,0,0,0,0
108-118,0,0.84,5.11,0,0.96,3.25,0,0,6.86,0,0,2.71,112.89,0,8.54,0,0,66.79,13.62,376.65,3.75,0,5.21,0,0,0,4.97
120,0,0,17.99,0,0,15.22,0,0,0,0,0,0,151.64,0,0,0,0,140.27,20.34,684.49,0,0,0,0,0,11.6,0
