stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,6.23,0,0,0,0,0,23.76,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,76.58,8.53,0,0,20.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.2,0,0,0,13.4,0,0,0,0,13.53,0,0,0,0,0,0,0,0,0,0,0,162.83,0,0,0,35.7,0,0,0,8.13,0,0,0,0,0,0
 14-21,0,0,0,0.92,0,0,5.72,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,18.47,0,1.37,0,0,0,0,0.82,0,0,10.95,0,0,0,0
 24-34,0,0,0,2.98,0,0,9.04,0,0,0.89,0,0,0,0,0,0,0,0,0,3.41,0,0,2.3,74.76,0,0,0,0,0,4.1,0,0,2.03,29.7,0,4.84,0,0
 36-46,0,0,0,8.59,0,0,4.12,0,0,3.18,0,1.09,0,0,0,0,0,0,0,8.16,0,0,0.61,74.57,0.66,5.43,3.52,0,0,10.64,0,0,0,12.5,0,0,0,0
 48-58,0,0,0,0.39,0,0,19.13,1.13,0,5.43,0,0.54,0,0,0,0,0.47,0,0,0,0.63,0,0.38,90.71,0,0,0.51,0,0,3.07,0,0,0,20.29,0,0,0,0
 60-70,0,0,0,0.72,0,0,22.74,0,0,5.8,0,0,0,0,0,0.67,0,0,0,0,0,2.79,0,97.47,0,0,1.26,0,0.63,1.81,0,0,0,29.17,0,0,0,0
 72-82,0,0,0,2.38,0.65,0,39.71,2.77,0,19.3,0.72,0,0,0,0.68,0,1.07,0,0,4.65,0.5,0,1.13,146.07,0,1.07,2.05,0,0,4.23,0,0,0,33,0,0,0.52,0
 84-94,0,2.84,0,4.65,0,0,15.57,0,0,18.24,2.92,0,1.31,0.65,0.61,4.72,0,0,0,9.64,0,1.31,0,72.62,0,0,3.49,0,0,9.05,0,0,0,12.95,1.86,0.6,0,0.55
 96-106,0,0.63,0,2.04,0,0.63,64.21,0,1.04,8,2.34,0,1.57,0,0,0,0.58,0,1.3,4.32,1.85,0,1.5,52.83,0,4.32,7.85,0,0,8.72,0,0,0,0.63,0.88,0,0,0
108-118,0,0.75,0,6.4,0,0.55,34.71,0,0,30.05,1.77,0,0,0.59,0.45,0,0.61,0,0,5.41,0,0,0,143.02,0.44,0,8.21,0,0,3.61,0,1.15,0,3.91,0.83,1.74,0,0
120,0,0,0,1.32,0,0,84.94,3.21,0,35.51,2.62,0,0,0,1.76,0,0,4.58,0,28.91,0,0,0,141.41,0,1.48,6.11,0,0,15.29,0,0,0,5.58,0,0,0,0
