stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,17.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.2,11.8,0,0,11.8,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,69.66,0,0,0,80.41,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.29,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,0,0,0,0,79.16,32.73,0,0,242.63,0,0,0,12.99,0,0,0,0,0,0,0,0
 14-21,0,0,56.52,0.96,0.96,0,0,0,2.65,0,0,0,0,0,0,0,0,0,8.17,0,1.96,27.07,27.59,0,0.88,57.8,0,0.98,109.54,0,0,25.43,26.63,0,0,1.12,0,0
 24-34,0,0,23.9,0,0,0,0,1.36,3.06,0.67,0,3.88,0,0,0,0,0,0,40.49,0,12.07,28.32,2.84,0,0,0,0,10.98,0,4.13,0,29.18,27.9,0,0,15.4,0,0.7
 36-46,0,0,14.07,0.76,3.22,0,2.76,24.52,5.59,0,0,0,0,0,0,0,0,0,71.63,0,5.2,11.89,4.41,0.63,1.94,0,0,12.34,9.19,0,0,0,28.86,0,0,5.37,0,0
 48-58,0,0,14.09,0,4.18,0,5.38,4.87,18.84,0,0,0,0,0,0,0,1.54,7.95,118.32,0,6.14,85.56,8.51,0,1.73,0,0,1.77,0,0,0,0,49.21,0,0,0.9,0,15.09
 60-70,0,0,16.5,0,15.15,4.15,8.82,20.74,8.89,0,2.2,0,2.8,0,0.85,0.63,0,1.83,323.07,5.65,2.06,42.88,0,0,0,0,0,2.35,0,0,0,0,36.43,1.22,1.84,2.95,0,10.28
 72-82,0,0,8.08,0,15.02,0,4.35,14.28,14.91,0,0,0,0,0,0,0,0,1.95,443.46,0.55,4.17,76.58,2.35,0,6.21,0,0,1.16,0,0,0,0,7.68,0,4.44,5.59,0.6,0
 84-94,0,0,47.77,5.77,28.08,8.09,15.11,19.12,26.29,0,0,6.72,0,1.31,1.02,0,0,8.77,351.07,1.56,8.56,22.41,5.65,1.05,8.55,0,0,16.25,0,0,0,0,0,0,2.14,4.41,2.22,13.21
 96-106,0,0,25.11,3.59,10.34,1.73,1.75,2.42,17.69,1,0,4.79,0,0.99,4.17,2.78,2.65,3.24,291.08,0,7.05,28.51,7.29,3.22,4.34,0,3.88,11.23,0,0,0,0,18.45,0,6.15,2.32,0.8,3.68
108-118,0,0,39.85,1.13,19.42,0.49,7.72,17.02,23.78,1.54,0,2.91,0,0,8.87,1.21,7.3,15.14,356.75,1.9,2.01,25.51,2.22,5.86,9.66,0,1.06,19.7,0,0,0.47,0,33.82,0,1.98,1.36,0,3.8
120,0,0,19.61,0,20,2.52,0,12.58,19.95,1.45,0,0,0,4.52,4.81,0,0,0,387.39,0,2.81,33.4,17.49,5.34,12.1,0,0,19.69,0,0,0,0,1.17,0,0,13.41,0,1.64
