stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,42.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,15.78,0,0,0,40.39,0,0,0,0,0,438.13,0,0,0,0,0,0,0,0,0,0,0,174.4,24.54,0,0,41.83,0,0,0,0,0,0,0,0,0
 10-12,9.42,0,36.67,0,0,0,36.44,0,0,0,0,0,472.17,0,0,0,0,0,0,0,0,0,0,0,429.83,11.6,0,0,32,0,14.37,0,0,0,0,0,0,0
 14-21,0,0,0,132.19,0,0,0.82,0,0,0,2.3,0.96,13.97,0,0,0,0,0,0,0,1.06,0.95,0,5.29,4.04,0.94,0,0,0,0.92,1.74,0,343.4,0,0,0,0,0
 24-34,0,0,0.83,105.66,0,0,3.61,0,0,1.23,3.69,0,0,2.15,0,2.21,0,0,0,0,16.13,2.38,0,3.65,50.33,1.11,1.61,4.25,0,2.61,7.28,2.47,615.41,0,0,4.18,0,0
 36-46,0,0,0,29.22,0,0,5.24,0,3.75,0.73,11.27,0,0,0,0,0,0,0,0,0,10.58,1.68,0,3.2,47.4,0,0,17.49,0,0,19.78,0,594.3,0,0,0,0,4.67
 48-58,0,0,0,13.7,0,0,19.76,1.17,0,1.31,18.54,3.3,0,0,4.33,9.51,0,0,0,1.17,27.56,4.24,0,0,64.15,0,0.51,20.57,0,0,16.03,0,809.93,0,0,3.09,0,0
 60-70,0,0,0,10.9,0,0,57.76,0,0,0,18.18,0,0,0,0,0,0,0,0,0,94.67,1.81,0,2.98,82.53,0,1.61,37.93,0,13.56,6.67,0,938.56,0,0,0,0,0
 72-82,0,0,0,15.05,0.5,0,41.45,0,0.64,0.75,15.68,0.57,0,0,0.55,0,0.83,0,3.9,0,145.18,1.63,0.7,5.23,60.29,0.77,0.58,20.68,0,0.72,6.08,0,715.79,0,0,2.23,0,0
 84-94,0,1.16,0,39.69,0,0,62.06,0,0.77,0,16.87,0.68,0,0,1.11,0.91,3.17,0,0,0,95.59,1.23,3.82,3.77,78.31,0,0.78,25.57,0,3.67,2.62,0,412.56,0,0.85,0,0,0
 96-106,0,0,1.03,17.13,11.58,1.71,28.43,0,1.21,5.88,10.87,0,0,1.86,0,2.39,0,0,0,0,121.59,4.43,0,6.14,38.2,0.62,12.95,24.85,0,3.84,9.78,0,291.58,3.12,0.78,0,0,0
108-118,0,0,0,44.06,0,11.11,41.96,0,0.5,0,13.53,1.68,0,0,0,1.65,4.89,1.34,1.73,0,196.22,1.74,2.66,2.55,88.77,1.29,2.8,47.45,0,0.67,10.85,0,229.55,0,0,2.11,3.87,1.31
120,0,0,0,57.9,1.53,0,17.77,0,3.89,0,16.07,0,0,0,0,0,0,0,0,0,134.37,7.28,0,14.74,165.58,0,0,38.94,0,3.55,8.02,0,364.54,0,0,0,0,0
